gs_long,counts,condition
Ank3,7164756.56348077,NL2_A
Tubgcp6,NA,NL2_A
Arfip1,40160.3047072202,NL2_A
Shisa8,NA,NL2_A
Capn2,84202.5368345082,NL2_A
S1pr1,683039.952055055,NL2_A
Cacna2d1,NA,NL2_A
Bin1,5896840.18433555,NL2_A
Sec22b,3452030.79879595,NL2_A
Dpysl2,378068122.514783,NL2_A
Rundc3a,313005.046620806,NL2_A
Emd,2290050.13275922,NL2_A
Gtpbp1,NA,NL2_A
Alyref,NA,NL2_A
Clta,NA,NL2_A
Pten,1534403.09673326,NL2_A
Stxbp1,298942690.521923,NL2_A
Endog,NA,NL2_A
Myh11,2077573.64261476,NL2_A
Ephb6,NA,NL2_A
Map3k4,NA,NL2_A
Metap2,NA,NL2_A
Kifc2,NA,NL2_A
Capn5,37420087.6223515,NL2_A
Prdx6,61255885.600241,NL2_A
Akap1,NA,NL2_A
Casp6,NA,NL2_A
Ampd3,21283235.1747878,NL2_A
Unc5c,NA,NL2_A
Dld,NA,NL2_A
Hsd17b10,NA,NL2_A
Ube3a,1057408.70290462,NL2_A
Tcof1,NA,NL2_A
Clock,NA,NL2_A
Dctn1,6613439.69870931,NL2_A
Prkcsh,NA,NL2_A
Eef2k,70915.9870202135,NL2_A
Prdx4,6468810.96756688,NL2_A
Diaph1,NA,NL2_A
Eftud2,88511.3345632826,NL2_A
Gfra2,NA,NL2_A
RO60,318832.326035071,NL2_A
Pik3r2,NA,NL2_A
Faah,NA,NL2_A
Aip,NA,NL2_A
Flot1,1222156.08882854,NL2_A
Numbl,102084.822736935,NL2_A
Cyth3,NA,NL2_A
Sdcbp,NA,NL2_A
Ncoa3,99959.9727796664,NL2_A
Pex5,36469.2781563806,NL2_A
Snap23,2136569.92023873,NL2_A
Map2k3,NA,NL2_A
Ndufb11,3154156.12491392,NL2_A
Ptgds,NA,NL2_A
Sypl1,675252.43009759,NL2_A
Sema4d,NA,NL2_A
Epha8,NA,NL2_A
Rpl21,9243113.71487249,NL2_A
Gclm,NA,NL2_A
Amacr,NA,NL2_A
Kif1c,677117.187964994,NL2_A
Vps26c,866509.012234448,NL2_A
Agpat1,204424.195477486,NL2_A
Dpysl4,23410350.5081738,NL2_A
Map3k5,NA,NL2_A
Phb2,NA,NL2_A
Ncam2,17512109.560074,NL2_A
Atp5if1,NA,NL2_A
Slc30a4,NA,NL2_A
Cx3cl1,NA,NL2_A
Ddt,NA,NL2_A
Cpsf2,NA,NL2_A
Psmd4,440383.048735905,NL2_A
Ptpn9,NA,NL2_A
Exoc7,NA,NL2_A
Dhx15,2818154.61808612,NL2_A
Purb,8581671.88772073,NL2_A
Slc6a6,NA,NL2_A
Kpna3,1591689.7679252,NL2_A
Kpna6,NA,NL2_A
Capn1,NA,NL2_A
Nrp2,NA,NL2_A
Exoc4,5749779.49650955,NL2_A
Efnb3,NA,NL2_A
Pld3,5816470.10595135,NL2_A
Rnf5,NA,NL2_A
Clcn6,26586.4030993127,NL2_A
Sema6a,NA,NL2_A
Fkbp8,698569.292005922,NL2_A
Cdk14,NA,NL2_A
Notch2,NA,NL2_A
Stx1a,43924590.8609478,NL2_A
Slc1a6,NA,NL2_A
Rabep1,2182792.7246077,NL2_A
Psmd14,2749467.84723785,NL2_A
Npc1,NA,NL2_A
Bmpr2,NA,NL2_A
Scamp3,1829414.27354006,NL2_A
Pmm1,NA,NL2_A
Bet1,NA,NL2_A
Axin1,NA,NL2_A
Slc32a1,15167119.9703529,NL2_A
Stag2,NA,NL2_A
Anxa3,NA,NL2_A
Ap1b1,4506680.96518487,NL2_A
Hap1,NA,NL2_A
Mgll,10263740.5252684,NL2_A
Mrps12,NA,NL2_A
Syt3,NA,NL2_A
Myadm,2383219.10338764,NL2_A
Ndufa1,1325684.06718597,NL2_A
Nudc,5163230.79061477,NL2_A
Enc1,NA,NL2_A
Noct,NA,NL2_A
Ppfibp2,NA,NL2_A
Hnrnph1,905842.009625037,NL2_A
Api5,NA,NL2_A
Bcat2,NA,NL2_A
Timm44,3129188.64721631,NL2_A
Cops5,443323.215665681,NL2_A
Slc1a4,6983564.33912321,NL2_A
Pik3cd,NA,NL2_A
Cdk5r2,NA,NL2_A
Ctnnd2,131906763.84823,NL2_A
Aldh1a7,NA,NL2_A
Pitpnm1,2898572.60013577,NL2_A
Rab33b,857945.642969752,NL2_A
Gamt,56004.3388222137,NL2_A
Sdc4,161167.249314075,NL2_A
Zw10,NA,NL2_A
Ddost,5840853.98515327,NL2_A
Ap3d1,19805666.0528186,NL2_A
Srpk2,3610912.6122165,NL2_A
Dapk3,NA,NL2_A
Nmbr,NA,NL2_A
Chka,94285.0744885823,NL2_A
Rgs9,NA,NL2_A
Rgs7,NA,NL2_A
Csnk2a2,NA,NL2_A
Gucy1b1,954446.880337835,NL2_A
Itgb3,NA,NL2_A
Cd200,NA,NL2_A
Reps1,2485044.88421988,NL2_A
Akap2,954247.505496969,NL2_A
Nlk,NA,NL2_A
Prkag1,NA,NL2_A
Sema6b,NA,NL2_A
Tnk2,NA,NL2_A
Crym,26180862.21484,NL2_A
Get3,95752.524229677,NL2_A
Slk,470148.968126931,NL2_A
Cntnap1,11344976.3610985,NL2_A
Mapkapk5,NA,NL2_A
Bnip3,NA,NL2_A
Trappc3,NA,NL2_A
Cacna1b,NA,NL2_A
Pgrmc1,790069.82967604,NL2_A
Impa1,4367015.59795609,NL2_A
Entpd2,NA,NL2_A
Bckdk,NA,NL2_A
Copb2,13845683.5406199,NL2_A
Nck2,NA,NL2_A
Snca,1728360.03770374,NL2_A
Tlk2,NA,NL2_A
Pde6d,NA,NL2_A
Tpmt,272771.939994162,NL2_A
Impact,2385607.0979404,NL2_A
Stk10,NA,NL2_A
Syngr1,12269229.9506524,NL2_A
Strn,1216468.50060382,NL2_A
Nipsnap1,1346587.9676968,NL2_A
Nipsnap2,NA,NL2_A
Sap18,NA,NL2_A
Septin7,177236563.340714,NL2_A
Acot1,27642284.2400422,NL2_A
Rpl35a,18096347.3736805,NL2_A
Atp2a2,120590861.620064,NL2_A
Slc6a2,NA,NL2_A
Supt5h,70030.9380902699,NL2_A
Ilk,5451389.97706524,NL2_A
Chkb,NA,NL2_A
Psmb5,NA,NL2_A
Rngtt,NA,NL2_A
Dhx9,14515426.0125835,NL2_A
Tesk1,NA,NL2_A
Dpm1,NA,NL2_A
Pip5k1c,5062315.48464575,NL2_A
Stmn3,NA,NL2_A
Pip4k2a,604096.205851961,NL2_A
Chrna4,NA,NL2_A
Eif3d,2309554.71208756,NL2_A
Pdlim3,NA,NL2_A
Atp9a,1042455.67196536,NL2_A
Eef1b,781290.980415367,NL2_A
Hmox2,NA,NL2_A
Grk6,NA,NL2_A
Atxn2,5835693.22265855,NL2_A
Itgb5,408048.67253652,NL2_A
Nmt1,2251846.98811614,NL2_A
Nmt2,11222975.5627639,NL2_A
Epb41l2,192363471.755816,NL2_A
Gpx4,6043074.48596644,NL2_A
Emc8,NA,NL2_A
Pdlim1,NA,NL2_A
Ulk1,NA,NL2_A
Fhl2,NA,NL2_A
Stx7,168692.448121122,NL2_A
Gnaz,19355410.5196177,NL2_A
Slc16a7,4771547.68267898,NL2_A
Sfn,NA,NL2_A
Osmr,215855.63817243,NL2_A
Ugdh,NA,NL2_A
Tnfaip1,NA,NL2_A
Ubr1,54147.9586333504,NL2_A
Stra6,NA,NL2_A
Snx3,11201343.564741,NL2_A
Snx12,542964.647713131,NL2_A
Clcn7,NA,NL2_A
Hsd17b12,2416873.88188805,NL2_A
Hcn4,NA,NL2_A
Diaph2,NA,NL2_A
Smpd2,NA,NL2_A
Dtnb,NA,NL2_A
Cask,6666175.53549873,NL2_A
Pfdn2,NA,NL2_A
Rtn2,NA,NL2_A
Ttc3,NA,NL2_A
Cfdp1,NA,NL2_A
Wiz,NA,NL2_A
Znf326,NA,NL2_A
Sorl1,NA,NL2_A
Ntsr1,NA,NL2_A
Ctnnal1,NA,NL2_A
Wdr1,69166130.4172241,NL2_A
Slc4a4,502124475.839466,NL2_A
Ikbkb,NA,NL2_A
Vti1b,NA,NL2_A
Tulp3,409134.710525421,NL2_A
Papss2,2232998.05199888,NL2_A
Mtx2,NA,NL2_A
Adcy1,449384.575229336,NL2_A
Klc1,4125508.20300856,NL2_A
Klc2,145690.436036738,NL2_A
Dhcr7,6077603.64680256,NL2_A
Capns1,21510.2076845162,NL2_A
Dync1i1,336602313.514144,NL2_A
Dync1i2,2342351.46076163,NL2_A
Plin4,45401.2489539698,NL2_A
Cntfr,NA,NL2_A
Dnmt3a,NA,NL2_A
Ikbkg,NA,NL2_A
Ppt1,NA,NL2_A
Zfr,247641.844673363,NL2_A
Ddc,NA,NL2_A
Cops3,192523.348557526,NL2_A
Cops4,NA,NL2_A
Cops6,NA,NL2_A
Slc27a3,NA,NL2_A
Hnrnpa2b1,10518711.3375614,NL2_A
Comt,3827292.3075284,NL2_A
Cacng2,1022703.07399018,NL2_A
Parg,44531.0218748231,NL2_A
Usp2,NA,NL2_A
Gosr1,NA,NL2_A
Pak1,628319.98883225,NL2_A
Brd7,NA,NL2_A
Psmc3,1129775.09881646,NL2_A
Clpp,NA,NL2_A
Stk16,NA,NL2_A
Hcn2,NA,NL2_A
Hcn1,NA,NL2_A
Hcn3,NA,NL2_A
Ctbp1,2334235.9292394,NL2_A
Map7,116212.708384475,NL2_A
Bsn,7109607.11320312,NL2_A
Birc6,1407105.75506506,NL2_A
Gdap1,24829933.1065148,NL2_A
Scrg1,NA,NL2_A
Tom1,4579489.16493847,NL2_A
Rpp30,NA,NL2_A
Dcx,275773.582600429,NL2_A
Sc5d,NA,NL2_A
Shd,NA,NL2_A
Adam15,NA,NL2_A
Idh1,20668708.8075084,NL2_A
Akap10,245667.150430002,NL2_A
Arl6,NA,NL2_A
Rbbp9,115244.437354591,NL2_A
Ccnk,NA,NL2_A
Apaf1,NA,NL2_A
Mpp3,NA,NL2_A
Syn1,74746772.2683544,NL2_A
Nfatc1,NA,NL2_A
Lin7c,NA,NL2_A
Gnpda1,614490.275527492,NL2_A
Setdb1,NA,NL2_A
Stx8,NA,NL2_A
Olfm1,NA,NL2_A
Cpd,NA,NL2_A
Robo1,NA,NL2_A
Matn4,NA,NL2_A
Sh3pxd2a,NA,NL2_A
Mkln1,NA,NL2_A
Itm2b,NA,NL2_A
Coro1a,25739716.4157047,NL2_A
Cope,NA,NL2_A
Pde4a,NA,NL2_A
Rbm3,NA,NL2_A
Cd93,NA,NL2_A
Fhit,NA,NL2_A
Lancl1,3131068.82485115,NL2_A
Dnajb5,NA,NL2_A
Mt,630156.591146553,NL2_A
ADH1,2269136254.77231,NL2_A
ADH2,49216076.8730373,NL2_A
Dhfr,NA,NL2_A
Mtco1,NA,NL2_A
Mtco2,85151711.3929824,NL2_A
mt,18830632.7602559,NL2_A
Abl1,248552.956883527,NL2_A
Ca2,16230496.6430947,NL2_A
Thy1,7872914.65195267,NL2_A
Hba,47679670.1757752,NL2_A
Hbb,21885716.7271132,NL2_A
Hbb,23066452.9013244,NL2_A
H3,47281016.5902109,NL2_A
Lamc1,345593.241633288,NL2_A
Lamb1,NA,NL2_A
KRT14,162877418.650154,NL2_A
Krt10,1323284.84445048,NL2_A
KRT6A,56134591.3064744,NL2_A
