GeneSymbol,FC,pval,sd,BioID,cell
Auts2,1.39668,0.02297152,0.282919915276429,NL1,Astrocyte
Nova2,-1.094635,0.3197481,0.153281559110895,NL1,Astrocyte
Cirop,1.431698,0.3912839,2.82986047480542,NL1,Astrocyte
Cul4b,-1.156481,0.07764426,0.0497827953714156,NL1,Astrocyte
Dhx8,-1.434512,0.1016336,0.0573452278758983,NL1,Astrocyte
Arfgef2,-1.121413,0.1838223,0.0685440588360749,NL1,Astrocyte
Smurf2,2.055735,0.007668259,0.566863585682728,NL1,Astrocyte
Tanc2,1.435666,0.01648418,0.240050970347244,NL1,Astrocyte
Fam171a2,1.028793,0.7755086,0.178529684512612,NL1,Astrocyte
Gpatch8,2.1944,0.3274178,0.96591034338791,NL1,Astrocyte
Cdc27,-1.442784,0.02581056,0.130187525409906,NL1,Astrocyte
Zmym4,-1.322575,0.1136908,0.0978032367609466,NL1,Astrocyte
Kiaa1522,1.008319,0.8973164,0.604375078449231,NL1,Astrocyte
Ptprf,3.540034,0.0004594394,0.37926261529689,NL1,Astrocyte
Osbpl9,-1.049745,0.3314782,0.044122660666402,NL1,Astrocyte
Szt2,-1.411098,0.1976139,0.207301868299765,NL1,Astrocyte
Kiaa1109,1.197925,0.6444164,0.416001996968151,NL1,Astrocyte
Sh3pxd2b,-1.76833,0.00405481,0.0146431692942512,NL1,Astrocyte
Med14,1.316877,0.1124235,0.38451530908702,NL1,Astrocyte
Faap100,1.50195,0.4923879,1.28959968717589,NL1,Astrocyte
Ddi2,1.105973,0.3202418,0.213954517031714,NL1,Astrocyte
Ccdc120,-6.640298,0.0003875881,0.0482901663040361,NL1,Astrocyte
Dock11,1.068965,0.7558087,0.284445878969649,NL1,Astrocyte
Frmpd4,1.046703,0.5207106,0.154716158577964,NL1,Astrocyte
Elapor1,-1.007057,0.9194866,0.0792795038195639,NL1,Astrocyte
Map7d2,-7.073733,0.1854081,0.289592460192729,NL1,Astrocyte
Ckap5,-2.005734,0.000531924,0.0158053628054635,NL1,Astrocyte
Camsap1,-1.324137,0.1881638,0.299076195740054,NL1,Astrocyte
Lzts3,-1.034135,0.8057277,0.328702550861876,NL1,Astrocyte
Ano3,1.202505,0.2297259,0.351210679303996,NL1,Astrocyte
Tprn,-1.419129,0.04683234,0.113773568689552,NL1,Astrocyte
Grin3a,-1.180007,0.3249495,0.133758131042122,NL1,Astrocyte
Man1b1,1.397794,0.2396514,0.28566406060944,NL1,Astrocyte
Pnpla7,-2.483073,0.001443254,0.0699549357197654,NL1,Astrocyte
Ajm1,1.556316,0.02007444,0.328140642885379,NL1,Astrocyte
Map7d1,-3.273852,0.001343613,0.0629215813944179,NL1,Astrocyte
Fggy,-1.428032,0.1509023,0.28157622211586,NL1,Astrocyte
Frmpd1,-1.174762,0.5742921,0.532353699305362,NL1,Astrocyte
Ajap1,-1.651272,0.06268221,0.0947470841791043,NL1,Astrocyte
Rap1gap,-1.003151,0.9231698,0.0900144136809903,NL1,Astrocyte
Shroom2,-1.649746,0.009292304,0.0355765392891213,NL1,Astrocyte
Ubr4,-1.343455,0.04350655,0.09814117199362,NL1,Astrocyte
Syndig1,-1.700152,0.03257518,0.2082170569246,NL1,Astrocyte
Plch2,1.331016,0.005959612,0.0471267927435144,NL1,Astrocyte
Klhdc7a,-2.643698,0.0003126034,0.0482071603019283,NL1,Astrocyte
Fmnl2,1.269667,0.03349716,0.145293417493391,NL1,Astrocyte
Scn1a,1.251471,0.02472912,0.116248286259121,NL1,Astrocyte
Tubb1,1.16634,0.4122927,0.209402756956391,NL1,Astrocyte
Skt,1.045947,0.6209899,0.155723004774323,NL1,Astrocyte
Ralgps1,1.387517,0.2096798,0.484029594474522,NL1,Astrocyte
Ppip5k1,-1.056506,0.4474121,0.131816006220185,NL1,Astrocyte
Ankrd63,1.278457,0.2300759,0.276266860030343,NL1,Astrocyte
Fsip2,1.4306,0.02082855,0.184015279441135,NL1,Astrocyte
Scn3a,2.644707,0.2260495,11.1068684096138,NL1,Astrocyte
Agrn,1.148231,0.3975549,0.107340357392403,NL1,Astrocyte
Ttn,1.064931,0.4396899,0.0322181599183754,NL1,Astrocyte
Slc25a25,1.387672,0.01403345,0.222922575683647,NL1,Astrocyte
Rabgap1,-1.324701,0.08508048,0.153932234662836,NL1,Astrocyte
Mocs3,1.237467,0.121045,0.300144229051817,NL1,Astrocyte
Las1l,-2.930403,0.001389064,0.0491128888243149,NL1,Astrocyte
Arid1a,-2.553235,0.0004440033,0.0716736825223269,NL1,Astrocyte
Kalrn,1.064467,0.4006502,0.0861768854710425,NL1,Astrocyte
Uhrf1bp1l,-1.336722,0.3802109,0.313862298895421,NL1,Astrocyte
Dennd5b,-1.228697,0.2969154,0.234906801877964,NL1,Astrocyte
