gs_long2,pct,condition2,cell,BioID
Tmf1,NA,NL2_A,Astrocyte,NL2
Ptprz1,59,NL2_A,Astrocyte,NL2
Arxes1,NA,NL2_A,Astrocyte,NL2
H2ac8,59,NL2_A,Astrocyte,NL2
Zbed6,NA,NL2_A,Astrocyte,NL2
Akap5,32,NL2_A,Astrocyte,NL2
Dgki,12,NL2_A,Astrocyte,NL2
Dgkh,NA,NL2_A,Astrocyte,NL2
Safb,27,NL2_A,Astrocyte,NL2
Obsl1,NA,NL2_A,Astrocyte,NL2
Mthfd2l,NA,NL2_A,Astrocyte,NL2
Pgbd5,54,NL2_A,Astrocyte,NL2
Ccdc6,38,NL2_A,Astrocyte,NL2
Shank1,31,NL2_A,Astrocyte,NL2
Ccdc8,NA,NL2_A,Astrocyte,NL2
Gsg1l,NA,NL2_A,Astrocyte,NL2
Gls,84,NL2_A,Astrocyte,NL2
Soga1,NA,NL2_A,Astrocyte,NL2
Prrt2,NA,NL2_A,Astrocyte,NL2
Dgkd,NA,NL2_A,Astrocyte,NL2
Fga,NA,NL2_A,Astrocyte,NL2
Mctp1,NA,NL2_A,Astrocyte,NL2
Gcn1,33,NL2_A,Astrocyte,NL2
Dchs1,NA,NL2_A,Astrocyte,NL2
Sbf2,33,NL2_A,Astrocyte,NL2
Ift140,NA,NL2_A,Astrocyte,NL2
Igsf9b,NA,NL2_A,Astrocyte,NL2
Ascc3,NA,NL2_A,Astrocyte,NL2
Tex264,NA,NL2_A,Astrocyte,NL2
Abcc4,NA,NL2_A,Astrocyte,NL2
C2cd2,NA,NL2_A,Astrocyte,NL2
Pi4ka,74,NL2_A,Astrocyte,NL2
Ryr2,18,NL2_A,Astrocyte,NL2
Arid1b,NA,NL2_A,Astrocyte,NL2
Wdfy1,NA,NL2_A,Astrocyte,NL2
Pde8b,NA,NL2_A,Astrocyte,NL2
Acacb,NA,NL2_A,Astrocyte,NL2
Dsp,83,NL2_A,Astrocyte,NL2
Ythdc1,NA,NL2_A,Astrocyte,NL2
Ptpro,NA,NL2_A,Astrocyte,NL2
Myo1e,34,NL2_A,Astrocyte,NL2
Ccdc85c,NA,NL2_A,Astrocyte,NL2
Xkr6,NA,NL2_A,Astrocyte,NL2
Ttc7b,NA,NL2_A,Astrocyte,NL2
Ube4a,NA,NL2_A,Astrocyte,NL2
Arid2,NA,NL2_A,Astrocyte,NL2
Numa1,39,NL2_A,Astrocyte,NL2
Nrxn2,14,NL2_A,Astrocyte,NL2
Fry,18,NL2_A,Astrocyte,NL2
Rap1gds1,25,NL2_A,Astrocyte,NL2
Dlg5,9,NL2_A,Astrocyte,NL2
Sec16a,34,NL2_A,Astrocyte,NL2
Syngap1,72,NL2_A,Astrocyte,NL2
Crocc2,99,NL2_A,Astrocyte,NL2
Tpr,44,NL2_A,Astrocyte,NL2
Farp1,93,NL2_A,Astrocyte,NL2
Nccrp1,NA,NL2_A,Astrocyte,NL2
Sipa1l3,NA,NL2_A,Astrocyte,NL2
Arfgef1,58,NL2_A,Astrocyte,NL2
Rab11fip2,3,NL2_A,Astrocyte,NL2
Atp2b1,96,NL2_A,Astrocyte,NL2
Trip12,13,NL2_A,Astrocyte,NL2
Poglut3,NA,NL2_A,Astrocyte,NL2
Fpgt,NA,NL2_A,Astrocyte,NL2
Ank3,67,NL2_A,Astrocyte,NL2
Tubgcp6,NA,NL2_A,Astrocyte,NL2
Arfip1,13,NL2_A,Astrocyte,NL2
Shisa8,NA,NL2_A,Astrocyte,NL2
Capn2,11,NL2_A,Astrocyte,NL2
S1pr1,32,NL2_A,Astrocyte,NL2
Cacna2d1,NA,NL2_A,Astrocyte,NL2
Bin1,65,NL2_A,Astrocyte,NL2
Sec22b,58,NL2_A,Astrocyte,NL2
Dpysl2,99,NL2_A,Astrocyte,NL2
Rundc3a,16,NL2_A,Astrocyte,NL2
Emd,54,NL2_A,Astrocyte,NL2
Gtpbp1,NA,NL2_A,Astrocyte,NL2
Alyref,NA,NL2_A,Astrocyte,NL2
Clta,NA,NL2_A,Astrocyte,NL2
Pten,49,NL2_A,Astrocyte,NL2
Stxbp1,98,NL2_A,Astrocyte,NL2
Endog,NA,NL2_A,Astrocyte,NL2
Myh11,49,NL2_A,Astrocyte,NL2
Ephb6,NA,NL2_A,Astrocyte,NL2
Map3k4,NA,NL2_A,Astrocyte,NL2
Metap2,NA,NL2_A,Astrocyte,NL2
Kifc2,NA,NL2_A,Astrocyte,NL2
Capn5,94,NL2_A,Astrocyte,NL2
Prdx6,93,NL2_A,Astrocyte,NL2
Akap1,NA,NL2_A,Astrocyte,NL2
Casp6,NA,NL2_A,Astrocyte,NL2
Ampd3,84,NL2_A,Astrocyte,NL2
Unc5c,NA,NL2_A,Astrocyte,NL2
Dld,NA,NL2_A,Astrocyte,NL2
Hsd17b10,NA,NL2_A,Astrocyte,NL2
Ube3a,30,NL2_A,Astrocyte,NL2
Tcof1,NA,NL2_A,Astrocyte,NL2
Clock,NA,NL2_A,Astrocyte,NL2
Dctn1,71,NL2_A,Astrocyte,NL2
Prkcsh,NA,NL2_A,Astrocyte,NL2
Eef2k,6,NL2_A,Astrocyte,NL2
Prdx4,67,NL2_A,Astrocyte,NL2
Diaph1,NA,NL2_A,Astrocyte,NL2
Eftud2,4,NL2_A,Astrocyte,NL2
Gfra2,NA,NL2_A,Astrocyte,NL2
RO60,20,NL2_A,Astrocyte,NL2
Pik3r2,NA,NL2_A,Astrocyte,NL2
Faah,NA,NL2_A,Astrocyte,NL2
Aip,NA,NL2_A,Astrocyte,NL2
Flot1,43,NL2_A,Astrocyte,NL2
Numbl,3,NL2_A,Astrocyte,NL2
Cyth3,NA,NL2_A,Astrocyte,NL2
Sdcbp,NA,NL2_A,Astrocyte,NL2
Ncoa3,12,NL2_A,Astrocyte,NL2
Pex5,1,NL2_A,Astrocyte,NL2
Snap23,56,NL2_A,Astrocyte,NL2
Map2k3,NA,NL2_A,Astrocyte,NL2
Ndufb11,53,NL2_A,Astrocyte,NL2
Ptgds,NA,NL2_A,Astrocyte,NL2
Sypl1,25,NL2_A,Astrocyte,NL2
Sema4d,NA,NL2_A,Astrocyte,NL2
Epha8,NA,NL2_A,Astrocyte,NL2
Rpl21,70,NL2_A,Astrocyte,NL2
Gclm,NA,NL2_A,Astrocyte,NL2
Amacr,NA,NL2_A,Astrocyte,NL2
Kif1c,29,NL2_A,Astrocyte,NL2
Vps26c,35,NL2_A,Astrocyte,NL2
Agpat1,13,NL2_A,Astrocyte,NL2
Dpysl4,84,NL2_A,Astrocyte,NL2
Map3k5,NA,NL2_A,Astrocyte,NL2
Phb2,NA,NL2_A,Astrocyte,NL2
Ncam2,83,NL2_A,Astrocyte,NL2
Atp5if1,NA,NL2_A,Astrocyte,NL2
