gs_long2,pct,condition2,cell,BioID
Ptprz1,NA,NL1_A,Astrocyte,NL1
Akap5,NA,NL1_A,Astrocyte,NL1
Hmcn1,NA,NL1_A,Astrocyte,NL1
Safb,NA,NL1_A,Astrocyte,NL1
Mthfd2l,NA,NL1_A,Astrocyte,NL1
Pgbd5,NA,NL1_A,Astrocyte,NL1
Ccdc6,NA,NL1_A,Astrocyte,NL1
Shank1,NA,NL1_A,Astrocyte,NL1
Gsg1l,22,NL1_A,Astrocyte,NL1
Gls,NA,NL1_A,Astrocyte,NL1
Prrt2,NA,NL1_A,Astrocyte,NL1
Fga,NA,NL1_A,Astrocyte,NL1
Gcn1,NA,NL1_A,Astrocyte,NL1
Dchs1,48,NL1_A,Astrocyte,NL1
Sbf2,42,NL1_A,Astrocyte,NL1
Igsf9b,NA,NL1_A,Astrocyte,NL1
Pi4ka,NA,NL1_A,Astrocyte,NL1
Ryr2,NA,NL1_A,Astrocyte,NL1
Wdfy1,NA,NL1_A,Astrocyte,NL1
Dsp,NA,NL1_A,Astrocyte,NL1
Ptpro,NA,NL1_A,Astrocyte,NL1
Myo1e,NA,NL1_A,Astrocyte,NL1
Ccdc85c,NA,NL1_A,Astrocyte,NL1
Xkr6,NA,NL1_A,Astrocyte,NL1
Ube4a,NA,NL1_A,Astrocyte,NL1
Numa1,NA,NL1_A,Astrocyte,NL1
Nrxn2,NA,NL1_A,Astrocyte,NL1
Fry,NA,NL1_A,Astrocyte,NL1
Dlg5,NA,NL1_A,Astrocyte,NL1
Sec16a,NA,NL1_A,Astrocyte,NL1
Syngap1,NA,NL1_A,Astrocyte,NL1
Tpr,NA,NL1_A,Astrocyte,NL1
Farp1,NA,NL1_A,Astrocyte,NL1
Sipa1l3,NA,NL1_A,Astrocyte,NL1
Arfgef1,NA,NL1_A,Astrocyte,NL1
Rab11fip2,NA,NL1_A,Astrocyte,NL1
Atp2b1,NA,NL1_A,Astrocyte,NL1
Trip12,NA,NL1_A,Astrocyte,NL1
Ank3,NA,NL1_A,Astrocyte,NL1
Shisa8,NA,NL1_A,Astrocyte,NL1
Capn2,NA,NL1_A,Astrocyte,NL1
S1pr1,NA,NL1_A,Astrocyte,NL1
Bin1,NA,NL1_A,Astrocyte,NL1
Sec22b,NA,NL1_A,Astrocyte,NL1
Dpysl2,NA,NL1_A,Astrocyte,NL1
Rundc3a,NA,NL1_A,Astrocyte,NL1
Emd,NA,NL1_A,Astrocyte,NL1
Gtpbp1,NA,NL1_A,Astrocyte,NL1
Alyref,NA,NL1_A,Astrocyte,NL1
Pten,75,NL1_A,Astrocyte,NL1
Stxbp1,NA,NL1_A,Astrocyte,NL1
Endog,NA,NL1_A,Astrocyte,NL1
Ephb6,34,NL1_A,Astrocyte,NL1
Capn5,NA,NL1_A,Astrocyte,NL1
Prdx6,NA,NL1_A,Astrocyte,NL1
Akap1,NA,NL1_A,Astrocyte,NL1
Casp6,NA,NL1_A,Astrocyte,NL1
Ampd3,NA,NL1_A,Astrocyte,NL1
Unc5c,NA,NL1_A,Astrocyte,NL1
Hsd17b10,NA,NL1_A,Astrocyte,NL1
Ube3a,NA,NL1_A,Astrocyte,NL1
Dctn1,NA,NL1_A,Astrocyte,NL1
Eef2k,NA,NL1_A,Astrocyte,NL1
Prdx4,NA,NL1_A,Astrocyte,NL1
Eftud2,NA,NL1_A,Astrocyte,NL1
Gfra2,NA,NL1_A,Astrocyte,NL1
RO60,NA,NL1_A,Astrocyte,NL1
Pik3r2,NA,NL1_A,Astrocyte,NL1
Aip,NA,NL1_A,Astrocyte,NL1
Flot1,NA,NL1_A,Astrocyte,NL1
Numbl,NA,NL1_A,Astrocyte,NL1
Cyth3,NA,NL1_A,Astrocyte,NL1
Hps1,NA,NL1_A,Astrocyte,NL1
Pex5,NA,NL1_A,Astrocyte,NL1
Snap23,73,NL1_A,Astrocyte,NL1
Psmb1,NA,NL1_A,Astrocyte,NL1
Ndufb11,57,NL1_A,Astrocyte,NL1
Sema4d,NA,NL1_A,Astrocyte,NL1
Epha8,NA,NL1_A,Astrocyte,NL1
Rpl21,NA,NL1_A,Astrocyte,NL1
Gclm,NA,NL1_A,Astrocyte,NL1
Kif1c,NA,NL1_A,Astrocyte,NL1
Vps26c,NA,NL1_A,Astrocyte,NL1
Agpat1,NA,NL1_A,Astrocyte,NL1
Dpysl4,NA,NL1_A,Astrocyte,NL1
Phb2,NA,NL1_A,Astrocyte,NL1
Polr1a,NA,NL1_A,Astrocyte,NL1
Ncam2,NA,NL1_A,Astrocyte,NL1
Slc30a4,NA,NL1_A,Astrocyte,NL1
Bet1l,NA,NL1_A,Astrocyte,NL1
Cx3cl1,NA,NL1_A,Astrocyte,NL1
Ddt,NA,NL1_A,Astrocyte,NL1
Psmd4,NA,NL1_A,Astrocyte,NL1
Kifc3,NA,NL1_A,Astrocyte,NL1
Ptpn9,NA,NL1_A,Astrocyte,NL1
Exoc7,NA,NL1_A,Astrocyte,NL1
Dhx15,NA,NL1_A,Astrocyte,NL1
Purb,NA,NL1_A,Astrocyte,NL1
Slc6a6,NA,NL1_A,Astrocyte,NL1
Kpna3,NA,NL1_A,Astrocyte,NL1
Kpna6,NA,NL1_A,Astrocyte,NL1
Exoc4,NA,NL1_A,Astrocyte,NL1
Efnb3,NA,NL1_A,Astrocyte,NL1
Pld3,NA,NL1_A,Astrocyte,NL1
Clcn6,NA,NL1_A,Astrocyte,NL1
Sema6a,9,NL1_A,Astrocyte,NL1
Fkbp8,NA,NL1_A,Astrocyte,NL1
Stx1a,NA,NL1_A,Astrocyte,NL1
Slc1a6,NA,NL1_A,Astrocyte,NL1
Rabep1,NA,NL1_A,Astrocyte,NL1
Psmd14,NA,NL1_A,Astrocyte,NL1
Bmpr2,48,NL1_A,Astrocyte,NL1
Scamp3,NA,NL1_A,Astrocyte,NL1
Bet1,NA,NL1_A,Astrocyte,NL1
Slc32a1,NA,NL1_A,Astrocyte,NL1
Ap1b1,NA,NL1_A,Astrocyte,NL1
Mgll,NA,NL1_A,Astrocyte,NL1
Mrps12,27,NL1_A,Astrocyte,NL1
Syt3,NA,NL1_A,Astrocyte,NL1
Myadm,NA,NL1_A,Astrocyte,NL1
Ndufa1,NA,NL1_A,Astrocyte,NL1
Nudc,NA,NL1_A,Astrocyte,NL1
Noct,NA,NL1_A,Astrocyte,NL1
Hnrnph1,NA,NL1_A,Astrocyte,NL1
Api5,NA,NL1_A,Astrocyte,NL1
Bcat2,NA,NL1_A,Astrocyte,NL1
Timm44,NA,NL1_A,Astrocyte,NL1
Cops5,NA,NL1_A,Astrocyte,NL1
Slc1a4,NA,NL1_A,Astrocyte,NL1
Ctnnd2,100,NL1_A,Astrocyte,NL1
Aldh1a7,4,NL1_A,Astrocyte,NL1
Pitpnm1,NA,NL1_A,Astrocyte,NL1
Rab33b,NA,NL1_A,Astrocyte,NL1
Gamt,NA,NL1_A,Astrocyte,NL1
Sdc4,NA,NL1_A,Astrocyte,NL1
Ddost,NA,NL1_A,Astrocyte,NL1
Ap3d1,NA,NL1_A,Astrocyte,NL1
Srpk2,NA,NL1_A,Astrocyte,NL1
Chka,NA,NL1_A,Astrocyte,NL1
Rgs9,NA,NL1_A,Astrocyte,NL1
Rgs7,NA,NL1_A,Astrocyte,NL1
Gucy1b1,NA,NL1_A,Astrocyte,NL1
Itgb3,NA,NL1_A,Astrocyte,NL1
Cd200,NA,NL1_A,Astrocyte,NL1
Reps1,NA,NL1_A,Astrocyte,NL1
Akap2,NA,NL1_A,Astrocyte,NL1
Nlk,NA,NL1_A,Astrocyte,NL1
Prkag1,NA,NL1_A,Astrocyte,NL1
Sema6b,NA,NL1_A,Astrocyte,NL1
Tnk2,NA,NL1_A,Astrocyte,NL1
Crym,NA,NL1_A,Astrocyte,NL1
Asna1,NA,NL1_A,Astrocyte,NL1
Slk,NA,NL1_A,Astrocyte,NL1
Cntnap1,NA,NL1_A,Astrocyte,NL1
Cacna1b,NA,NL1_A,Astrocyte,NL1
Pgrmc1,NA,NL1_A,Astrocyte,NL1
Impa1,NA,NL1_A,Astrocyte,NL1
Entpd2,NA,NL1_A,Astrocyte,NL1
Copb2,NA,NL1_A,Astrocyte,NL1
Nck2,NA,NL1_A,Astrocyte,NL1
Snca,NA,NL1_A,Astrocyte,NL1
Tlk2,NA,NL1_A,Astrocyte,NL1
Tpmt,NA,NL1_A,Astrocyte,NL1
Impact,NA,NL1_A,Astrocyte,NL1
Syngr1,NA,NL1_A,Astrocyte,NL1
Strn,NA,NL1_A,Astrocyte,NL1
Nipsnap1,NA,NL1_A,Astrocyte,NL1
Sap18,43,NL1_A,Astrocyte,NL1
Septin7,NA,NL1_A,Astrocyte,NL1
Eif6,NA,NL1_A,Astrocyte,NL1
Acot1,NA,NL1_A,Astrocyte,NL1
Rpl35a,NA,NL1_A,Astrocyte,NL1
Atp2a2,NA,NL1_A,Astrocyte,NL1
Slc6a2,NA,NL1_A,Astrocyte,NL1
Supt5h,NA,NL1_A,Astrocyte,NL1
Ilk,NA,NL1_A,Astrocyte,NL1
Psmb5,NA,NL1_A,Astrocyte,NL1
Rngtt,NA,NL1_A,Astrocyte,NL1
Dhx9,NA,NL1_A,Astrocyte,NL1
Tesk1,NA,NL1_A,Astrocyte,NL1
Dpm1,NA,NL1_A,Astrocyte,NL1
Pip5k1c,NA,NL1_A,Astrocyte,NL1
Stmn3,5,NL1_A,Astrocyte,NL1
Pip4k2a,NA,NL1_A,Astrocyte,NL1
Chrna4,NA,NL1_A,Astrocyte,NL1
Eif3d,NA,NL1_A,Astrocyte,NL1
Atp9a,NA,NL1_A,Astrocyte,NL1
Eef1b,NA,NL1_A,Astrocyte,NL1
Hmox2,NA,NL1_A,Astrocyte,NL1
Grk6,NA,NL1_A,Astrocyte,NL1
Atxn2,NA,NL1_A,Astrocyte,NL1
Itgb5,NA,NL1_A,Astrocyte,NL1
Nmt1,NA,NL1_A,Astrocyte,NL1
Nmt2,NA,NL1_A,Astrocyte,NL1
Epb41l2,NA,NL1_A,Astrocyte,NL1
Gpx4,NA,NL1_A,Astrocyte,NL1
Emc8,NA,NL1_A,Astrocyte,NL1
Pdlim1,NA,NL1_A,Astrocyte,NL1
Ulk1,NA,NL1_A,Astrocyte,NL1
Stx7,NA,NL1_A,Astrocyte,NL1
Gnaz,NA,NL1_A,Astrocyte,NL1
Slc16a7,NA,NL1_A,Astrocyte,NL1
Sfn,NA,NL1_A,Astrocyte,NL1
Osmr,NA,NL1_A,Astrocyte,NL1
Tnfaip1,NA,NL1_A,Astrocyte,NL1
Ubr1,NA,NL1_A,Astrocyte,NL1
Snx3,NA,NL1_A,Astrocyte,NL1
Snx12,NA,NL1_A,Astrocyte,NL1
Clcn7,NA,NL1_A,Astrocyte,NL1
Hsd17b12,85,NL1_A,Astrocyte,NL1
Smpd2,NA,NL1_A,Astrocyte,NL1
Dtnb,45,NL1_A,Astrocyte,NL1
Cask,NA,NL1_A,Astrocyte,NL1
Cfdp1,NA,NL1_A,Astrocyte,NL1
Wiz,NA,NL1_A,Astrocyte,NL1
Znf326,NA,NL1_A,Astrocyte,NL1
Ctnnal1,NA,NL1_A,Astrocyte,NL1
Wdr1,NA,NL1_A,Astrocyte,NL1
Slc4a4,NA,NL1_A,Astrocyte,NL1
Vti1b,NA,NL1_A,Astrocyte,NL1
Tulp3,65,NL1_A,Astrocyte,NL1
Papss2,NA,NL1_A,Astrocyte,NL1
Adcy1,NA,NL1_A,Astrocyte,NL1
Klc1,NA,NL1_A,Astrocyte,NL1
Klc2,NA,NL1_A,Astrocyte,NL1
Dhcr7,NA,NL1_A,Astrocyte,NL1
Capns1,NA,NL1_A,Astrocyte,NL1
Dync1i1,NA,NL1_A,Astrocyte,NL1
Dync1i2,NA,NL1_A,Astrocyte,NL1
Plin4,NA,NL1_A,Astrocyte,NL1
Cntfr,NA,NL1_A,Astrocyte,NL1
Ppt1,NA,NL1_A,Astrocyte,NL1
Zfr,NA,NL1_A,Astrocyte,NL1
Cops6,49,NL1_A,Astrocyte,NL1
Slc27a3,NA,NL1_A,Astrocyte,NL1
Hnrnpa2b1,NA,NL1_A,Astrocyte,NL1
Comt,NA,NL1_A,Astrocyte,NL1
Cacng2,49,NL1_A,Astrocyte,NL1
Parg,NA,NL1_A,Astrocyte,NL1
Usp2,NA,NL1_A,Astrocyte,NL1
Gosr1,NA,NL1_A,Astrocyte,NL1
Psmc3,NA,NL1_A,Astrocyte,NL1
Stk16,NA,NL1_A,Astrocyte,NL1
Hcn2,NA,NL1_A,Astrocyte,NL1
Hcn1,NA,NL1_A,Astrocyte,NL1
Hcn3,24,NL1_A,Astrocyte,NL1
Ctbp1,NA,NL1_A,Astrocyte,NL1
Map7,NA,NL1_A,Astrocyte,NL1
Bsn,NA,NL1_A,Astrocyte,NL1
Birc6,NA,NL1_A,Astrocyte,NL1
Gdap1,NA,NL1_A,Astrocyte,NL1
Tom1,NA,NL1_A,Astrocyte,NL1
Dcx,NA,NL1_A,Astrocyte,NL1
Stam2,NA,NL1_A,Astrocyte,NL1
Adam15,8,NL1_A,Astrocyte,NL1
Idh1,NA,NL1_A,Astrocyte,NL1
Akap10,NA,NL1_A,Astrocyte,NL1
Rbbp9,NA,NL1_A,Astrocyte,NL1
Tspyl1,NA,NL1_A,Astrocyte,NL1
Ccnk,1,NL1_A,Astrocyte,NL1
Mpp3,44,NL1_A,Astrocyte,NL1
Syn1,NA,NL1_A,Astrocyte,NL1
Nfatc1,NA,NL1_A,Astrocyte,NL1
Lin7c,NA,NL1_A,Astrocyte,NL1
Gnpda1,NA,NL1_A,Astrocyte,NL1
Stx8,NA,NL1_A,Astrocyte,NL1
Cpd,NA,NL1_A,Astrocyte,NL1
Robo1,NA,NL1_A,Astrocyte,NL1
Itm2b,32,NL1_A,Astrocyte,NL1
Coro1a,NA,NL1_A,Astrocyte,NL1
Cope,NA,NL1_A,Astrocyte,NL1
Pde4a,NA,NL1_A,Astrocyte,NL1
Fhit,NA,NL1_A,Astrocyte,NL1
Lancl1,NA,NL1_A,Astrocyte,NL1
NA,NA,NL1_A,Astrocyte,NL1
ADH1,NA,NL1_A,Astrocyte,NL1
ADH2,NA,NL1_A,Astrocyte,NL1
Mtco1,NA,NL1_A,Astrocyte,NL1
Mtco2,NA,NL1_A,Astrocyte,NL1
NA,NA,NL1_A,Astrocyte,NL1
NA,NA,NL1_A,Astrocyte,NL1
Ca2,NA,NL1_A,Astrocyte,NL1
Thy1,NA,NL1_A,Astrocyte,NL1
Hba,NA,NL1_A,Astrocyte,NL1
NA,NA,NL1_A,Astrocyte,NL1
NA,NA,NL1_A,Astrocyte,NL1
Lamc1,NA,NL1_A,Astrocyte,NL1
KRT14,NA,NL1_A,Astrocyte,NL1
Krt10,NA,NL1_A,Astrocyte,NL1
KRT6A,NA,NL1_A,Astrocyte,NL1
CSN1S1,NA,NL1_A,Astrocyte,NL1
AVD,NA,NL1_A,Astrocyte,NL1
ALB,NA,NL1_A,Astrocyte,NL1
ALB,NA,NL1_A,Astrocyte,NL1
Mt1,NA,NL1_A,Astrocyte,NL1
Mtnd1,NA,NL1_A,Astrocyte,NL1
Mtnd3,NA,NL1_A,Astrocyte,NL1
Mtnd4,NA,NL1_A,Astrocyte,NL1
Mtnd5,82,NL1_A,Astrocyte,NL1
Iap,NA,NL1_A,Astrocyte,NL1
Gfap,NA,NL1_A,Astrocyte,NL1
Krt1,NA,NL1_A,Astrocyte,NL1
KRT6B,NA,NL1_A,Astrocyte,NL1
KRT1,NA,NL1_A,Astrocyte,NL1
Mbp,NA,NL1_A,Astrocyte,NL1
Araf,NA,NL1_A,Astrocyte,NL1
Slc4a1,NA,NL1_A,Astrocyte,NL1
Aldoc,NA,NL1_A,Astrocyte,NL1
Aldoa,NA,NL1_A,Astrocyte,NL1
Prkaca,NA,NL1_A,Astrocyte,NL1
Got1,NA,NL1_A,Astrocyte,NL1
Got2,NA,NL1_A,Astrocyte,NL1
Src,NA,NL1_A,Astrocyte,NL1
Pdgfrb,NA,NL1_A,Astrocyte,NL1
Krt18,NA,NL1_A,Astrocyte,NL1
Ldha,NA,NL1_A,Astrocyte,NL1
Nr3c1,NA,NL1_A,Astrocyte,NL1
Apoa4,NA,NL1_A,Astrocyte,NL1
Gpi,NA,NL1_A,Astrocyte,NL1
Me1,NA,NL1_A,Astrocyte,NL1
Gap43,NA,NL1_A,Astrocyte,NL1
Anxa2,NA,NL1_A,Astrocyte,NL1
Alb,NA,NL1_A,Astrocyte,NL1
Serpina3k,NA,NL1_A,Astrocyte,NL1
Hsp90aa1,NA,NL1_A,Astrocyte,NL1
Spta1,19,NL1_A,Astrocyte,NL1
Zfp2,12,NL1_A,Astrocyte,NL1
Hck,NA,NL1_A,Astrocyte,NL1
Hsp90b1,NA,NL1_A,Astrocyte,NL1
Mdh2,NA,NL1_A,Astrocyte,NL1
Camk4,NA,NL1_A,Astrocyte,NL1
Nefl,NA,NL1_A,Astrocyte,NL1
Nefm,NA,NL1_A,Astrocyte,NL1
Nras,37,NL1_A,Astrocyte,NL1
Gnai2,NA,NL1_A,Astrocyte,NL1
KRT16,NA,NL1_A,Astrocyte,NL1
Itgb1,NA,NL1_A,Astrocyte,NL1
Ncl,NA,NL1_A,Astrocyte,NL1
Pgk1,NA,NL1_A,Astrocyte,NL1
Nudt10,NA,NL1_A,Astrocyte,NL1
Rc3h2,NA,NL1_A,Astrocyte,NL1
Lrrc4b,91,NL1_A,Astrocyte,NL1
Igsf11,81,NL1_A,Astrocyte,NL1
Wipf3,NA,NL1_A,Astrocyte,NL1
Lynx1,NA,NL1_A,Astrocyte,NL1
Eef1a1,NA,NL1_A,Astrocyte,NL1
Alad,NA,NL1_A,Astrocyte,NL1
Ctsb,59,NL1_A,Astrocyte,NL1
Eif4a2,NA,NL1_A,Astrocyte,NL1
Mapt,NA,NL1_A,Astrocyte,NL1
Txn,NA,NL1_A,Astrocyte,NL1
Gstm1,NA,NL1_A,Astrocyte,NL1
Rras,NA,NL1_A,Astrocyte,NL1
Slc3a2,98,NL1_A,Astrocyte,NL1
H1f0,NA,NL1_A,Astrocyte,NL1
Parp1,NA,NL1_A,Astrocyte,NL1
Lamp1,NA,NL1_A,Astrocyte,NL1
Hsp90ab1,NA,NL1_A,Astrocyte,NL1
Dmd,NA,NL1_A,Astrocyte,NL1
L1cam,NA,NL1_A,Astrocyte,NL1
Camk2a,97,NL1_A,Astrocyte,NL1
Itpr1,NA,NL1_A,Astrocyte,NL1
Tcp1,NA,NL1_A,Astrocyte,NL1
Prkar2a,NA,NL1_A,Astrocyte,NL1
Pfkl,NA,NL1_A,Astrocyte,NL1
Chrm1,NA,NL1_A,Astrocyte,NL1
Cntn1,NA,NL1_A,Astrocyte,NL1
Rpl7a,NA,NL1_A,Astrocyte,NL1
Gsn,NA,NL1_A,Astrocyte,NL1
Ncam1,NA,NL1_A,Astrocyte,NL1
KRT10,NA,NL1_A,Astrocyte,NL1
KRT5,NA,NL1_A,Astrocyte,NL1
Gpd1,NA,NL1_A,Astrocyte,NL1
Atp1b1,NA,NL1_A,Astrocyte,NL1
Rpl27a,NA,NL1_A,Astrocyte,NL1
Rps16,NA,NL1_A,Astrocyte,NL1
Rpl7,NA,NL1_A,Astrocyte,NL1
Mdh1,NA,NL1_A,Astrocyte,NL1
Rpsa,NA,NL1_A,Astrocyte,NL1
Calr,NA,NL1_A,Astrocyte,NL1
Atp1b2,NA,NL1_A,Astrocyte,NL1
Srp54,NA,NL1_A,Astrocyte,NL1
Psmd3,95,NL1_A,Astrocyte,NL1
Lmnb1,NA,NL1_A,Astrocyte,NL1
Anxa6,NA,NL1_A,Astrocyte,NL1
Rplp0,NA,NL1_A,Astrocyte,NL1
Map1b,NA,NL1_A,Astrocyte,NL1
Glul,NA,NL1_A,Astrocyte,NL1
Cdh2,76,NL1_A,Astrocyte,NL1
Insr,NA,NL1_A,Astrocyte,NL1
Ntrk2,NA,NL1_A,Astrocyte,NL1
Cd44,NA,NL1_A,Astrocyte,NL1
Kcnc1,NA,NL1_A,Astrocyte,NL1
Nme1,NA,NL1_A,Astrocyte,NL1
Usp53,NA,NL1_A,Astrocyte,NL1
Prkce,NA,NL1_A,Astrocyte,NL1
Met,NA,NL1_A,Astrocyte,NL1
Ldhb,NA,NL1_A,Astrocyte,NL1
Blk,NA,NL1_A,Astrocyte,NL1
Slc4a3,NA,NL1_A,Astrocyte,NL1
Cnp,NA,NL1_A,Astrocyte,NL1
Kcna1,NA,NL1_A,Astrocyte,NL1
Kcna3,NA,NL1_A,Astrocyte,NL1
Ass1,88,NL1_A,Astrocyte,NL1
Sptan1,NA,NL1_A,Astrocyte,NL1
Gapdh,NA,NL1_A,Astrocyte,NL1
Hspa2,NA,NL1_A,Astrocyte,NL1
Eno1,NA,NL1_A,Astrocyte,NL1
Eno2,NA,NL1_A,Astrocyte,NL1
Ptbp1,NA,NL1_A,Astrocyte,NL1
Ap2a1,NA,NL1_A,Astrocyte,NL1
Ap2a2,NA,NL1_A,Astrocyte,NL1
Selenbp1,NA,NL1_A,Astrocyte,NL1
Hk1,NA,NL1_A,Astrocyte,NL1
Ppia,NA,NL1_A,Astrocyte,NL1
Tpi1,NA,NL1_A,Astrocyte,NL1
Slc2a1,NA,NL1_A,Astrocyte,NL1
Ptpra,NA,NL1_A,Astrocyte,NL1
Ctsd,NA,NL1_A,Astrocyte,NL1
Bsg,NA,NL1_A,Astrocyte,NL1
Slc7a2,67,NL1_A,Astrocyte,NL1
Hmgn1,NA,NL1_A,Astrocyte,NL1
Rps6ka3,NA,NL1_A,Astrocyte,NL1
Cfl1,NA,NL1_A,Astrocyte,NL1
Phka1,NA,NL1_A,Astrocyte,NL1
Gnao1,NA,NL1_A,Astrocyte,NL1
KRT15,NA,NL1_A,Astrocyte,NL1
KRT4,NA,NL1_A,Astrocyte,NL1
Fasn,NA,NL1_A,Astrocyte,NL1
Gstp1,93,NL1_A,Astrocyte,NL1
Nefh,NA,NL1_A,Astrocyte,NL1
Rpl13a,NA,NL1_A,Astrocyte,NL1
Mpv17,38,NL1_A,Astrocyte,NL1
Serpinh1,NA,NL1_A,Astrocyte,NL1
Cox5b,NA,NL1_A,Astrocyte,NL1
Hspa5,NA,NL1_A,Astrocyte,NL1
Prdx3,NA,NL1_A,Astrocyte,NL1
Vim,NA,NL1_A,Astrocyte,NL1
Map2,NA,NL1_A,Astrocyte,NL1
Prkca,NA,NL1_A,Astrocyte,NL1
Mag,NA,NL1_A,Astrocyte,NL1
Gna11,NA,NL1_A,Astrocyte,NL1
Cst3,NA,NL1_A,Astrocyte,NL1
Eno3,NA,NL1_A,Astrocyte,NL1
Pcsk2,NA,NL1_A,Astrocyte,NL1
Emb,NA,NL1_A,Astrocyte,NL1
NA,NA,NL1_A,Astrocyte,NL1
Cbl,NA,NL1_A,Astrocyte,NL1
Gabrg2,NA,NL1_A,Astrocyte,NL1
