gs_long2,pct,condition2,cell,BioID
Auts2,NA,NL1_A,Astrocyte,NL1
Cul4b,NA,NL1_A,Astrocyte,NL1
Arfgef2,NA,NL1_A,Astrocyte,NL1
Smurf2,NA,NL1_A,Astrocyte,NL1
Tanc2,NA,NL1_A,Astrocyte,NL1
Fam171a2,NA,NL1_A,Astrocyte,NL1
Kiaa1522,NA,NL1_A,Astrocyte,NL1
Ptprf,NA,NL1_A,Astrocyte,NL1
Tmem201,NA,NL1_A,Astrocyte,NL1
Osbpl9,NA,NL1_A,Astrocyte,NL1
Kiaa1109,NA,NL1_A,Astrocyte,NL1
Sh3pxd2b,NA,NL1_A,Astrocyte,NL1
Faap100,2,NL1_A,Astrocyte,NL1
Ddi2,NA,NL1_A,Astrocyte,NL1
Ccdc120,NA,NL1_A,Astrocyte,NL1
Frmpd4,NA,NL1_A,Astrocyte,NL1
Kiaa1324,NA,NL1_A,Astrocyte,NL1
Map7d2,NA,NL1_A,Astrocyte,NL1
Ryr3,NA,NL1_A,Astrocyte,NL1
Ckap5,NA,NL1_A,Astrocyte,NL1
Camsap1,NA,NL1_A,Astrocyte,NL1
Lzts3,NA,NL1_A,Astrocyte,NL1
Ano3,NA,NL1_A,Astrocyte,NL1
Pnpla7,NA,NL1_A,Astrocyte,NL1
Ajm1,76,NL1_A,Astrocyte,NL1
Map7d1,NA,NL1_A,Astrocyte,NL1
Frmpd1,NA,NL1_A,Astrocyte,NL1
Focad,NA,NL1_A,Astrocyte,NL1
Ajap1,NA,NL1_A,Astrocyte,NL1
Rap1gap,NA,NL1_A,Astrocyte,NL1
Shroom2,NA,NL1_A,Astrocyte,NL1
Ubr4,NA,NL1_A,Astrocyte,NL1
Syndig1,NA,NL1_A,Astrocyte,NL1
Plch2,NA,NL1_A,Astrocyte,NL1
Klhdc7a,NA,NL1_A,Astrocyte,NL1
Fmnl2,NA,NL1_A,Astrocyte,NL1
Tubb1,NA,NL1_A,Astrocyte,NL1
Skt,NA,NL1_A,Astrocyte,NL1
Myh7b,NA,NL1_A,Astrocyte,NL1
Ralgps1,NA,NL1_A,Astrocyte,NL1
Ppip5k1,NA,NL1_A,Astrocyte,NL1
Fsip2,78,NL1_A,Astrocyte,NL1
Ttn,NA,NL1_A,Astrocyte,NL1
Slc25a25,NA,NL1_A,Astrocyte,NL1
Rabgap1,NA,NL1_A,Astrocyte,NL1
Arhgef10l,NA,NL1_A,Astrocyte,NL1
Mocs3,NA,NL1_A,Astrocyte,NL1
Kalrn,NA,NL1_A,Astrocyte,NL1
Uhrf1bp1l,NA,NL1_A,Astrocyte,NL1
Dennd5b,NA,NL1_A,Astrocyte,NL1
Tyw5,NA,NL1_A,Astrocyte,NL1
Fbxl16,NA,NL1_A,Astrocyte,NL1
Tbc1d8b,NA,NL1_A,Astrocyte,NL1
Ttc38,NA,NL1_A,Astrocyte,NL1
Krt28,NA,NL1_A,Astrocyte,NL1
Exoc6b,NA,NL1_A,Astrocyte,NL1
Nwd1,NA,NL1_A,Astrocyte,NL1
Armt1,NA,NL1_A,Astrocyte,NL1
Rabgap1l,NA,NL1_A,Astrocyte,NL1
Dennd4c,NA,NL1_A,Astrocyte,NL1
Kcnb2,NA,NL1_A,Astrocyte,NL1
Dpy19l1,NA,NL1_A,Astrocyte,NL1
Tmem215,NA,NL1_A,Astrocyte,NL1
Thada,NA,NL1_A,Astrocyte,NL1
Nlgn4l,NA,NL1_A,Astrocyte,NL1
Ptprs,NA,NL1_A,Astrocyte,NL1
Krt36,NA,NL1_A,Astrocyte,NL1
Cisd3,NA,NL1_A,Astrocyte,NL1
Grik3,NA,NL1_A,Astrocyte,NL1
Ptpru,NA,NL1_A,Astrocyte,NL1
Uprt,NA,NL1_A,Astrocyte,NL1
Scn2a,NA,NL1_A,Astrocyte,NL1
Nhsl2,NA,NL1_A,Astrocyte,NL1
Frrs1l,NA,NL1_A,Astrocyte,NL1
Usp24,NA,NL1_A,Astrocyte,NL1
Dlgap4,NA,NL1_A,Astrocyte,NL1
Cad,NA,NL1_A,Astrocyte,NL1
Arhgap42,NA,NL1_A,Astrocyte,NL1
Ythdc2,NA,NL1_A,Astrocyte,NL1
Otud4,NA,NL1_A,Astrocyte,NL1
Gnai1,NA,NL1_A,Astrocyte,NL1
Apba1,NA,NL1_A,Astrocyte,NL1
Otud7b,NA,NL1_A,Astrocyte,NL1
Trappc11,NA,NL1_A,Astrocyte,NL1
Plxnb2,NA,NL1_A,Astrocyte,NL1
Rbm25,NA,NL1_A,Astrocyte,NL1
Ildr2,NA,NL1_A,Astrocyte,NL1
Clip3,NA,NL1_A,Astrocyte,NL1
Pdzd8,NA,NL1_A,Astrocyte,NL1
Osbpl8,NA,NL1_A,Astrocyte,NL1
Cttnbp2,NA,NL1_A,Astrocyte,NL1
Tmem229a,NA,NL1_A,Astrocyte,NL1
