GeneSymbol,FC,pval,sd,BioID,cell
Tmem215,1.110175,0.733371418069362,0.365695469059105,NL1,Astrocyte
Rnls,1.347252,0.196814201298701,0.279302300152606,NL1,Astrocyte
Sec14l1,-1.170662,0.630815895423609,0.631046054406447,NL1,Astrocyte
Vwa5b1,1.058446,0.779760964296455,0.26124173667491,NL1,Astrocyte
Nlgn4l,1.224803,0.219274742585387,0.192674449523928,NL1,Astrocyte
Ptprs,1.163819,0.119487849467787,0.0972867725918574,NL1,Astrocyte
Krt36,15.69262,0.144750212647938,11.1317582207011,NL1,Astrocyte
Cisd3,1.543741,0.0620346574666667,0.111627576930886,NL1,Astrocyte
Grik3,-2.65703,0.0240900851290323,0.0544109424869901,NL1,Astrocyte
Ptpru,-1.507464,0.104070580724749,0.168863478933377,NL1,Astrocyte
Kif16b,-1.541845,0.200865122333637,0.236163392465253,NL1,Astrocyte
Uprt,-1.865086,0.102427494113924,0.164873188477714,NL1,Astrocyte
Scn2a,1.118782,0.607492848087432,0.0534726207330862,NL1,Astrocyte
Nhsl2,1.302289,0.227581101346801,0.106315805763195,NL1,Astrocyte
Frrs1l,1.224295,0.156221812626932,0.210462554168105,NL1,Astrocyte
Nfx1,1.434364,0.0815225227184466,0.0451473168596398,NL1,Astrocyte
Usp24,-1.845497,0.0294213632717087,0.0812160457034173,NL1,Astrocyte
Thoc2,-1.958986,0.171316297920998,0.217193608752308,NL1,Astrocyte
Dlgap4,1.077077,0.677521233114085,0.191180488822256,NL1,Astrocyte
Cad,-1.286366,0.152559404805492,0.15605967896902,NL1,Astrocyte
Arhgap42,-1.378437,0.174459991340206,0.0176038438444243,NL1,Astrocyte
Ythdc2,-1.188017,0.509070705298878,0.147756021729475,NL1,Astrocyte
Gnai1,1.296432,0.143885545465465,0.117770032989414,NL1,Astrocyte
Apba1,1.294998,0.261244930103806,0.184919724059049,NL1,Astrocyte
Otud7b,-1.626885,0.111899455238095,0.0619842769115721,NL1,Astrocyte
Tmem240,1.145696,0.94843197817615,0.448924192761078,NL1,Astrocyte
Tut4,1.226581,0.108803458184502,0.175501107687352,NL1,Astrocyte
Plcxd2,-1.029491,0.883317082124037,0.339759524165185,NL1,Astrocyte
Trappc11,-1.253979,0.0695436628314607,0.0402693176374252,NL1,Astrocyte
Ankrd44,1.179358,0.493690278376227,0.406273213042373,NL1,Astrocyte
Plxnb2,1.283612,0.424701830884905,0.364705679685559,NL1,Astrocyte
Rbm25,-3.057749,0.0328179476876574,0.0443938443763035,NL1,Astrocyte
Ildr2,-1.323491,0.498911894670185,0.241692017168627,NL1,Astrocyte
Kif7,-1.452048,0.0369961284859002,0.0872230401488315,NL1,Astrocyte
Qtrt2,1.118989,0.801554320933192,0.399194344570121,NL1,Astrocyte
Clip3,-1.488651,0.157858366285714,0.17198167200208,NL1,Astrocyte
Pdzd8,-1.006295,0.962119793728223,0.0937382284799202,NL1,Astrocyte
Osbpl8,1.199009,0.153070466947129,0.0863690055793362,NL1,Astrocyte
Cttnbp2,-1.368864,0.502848262253743,0.170660865288354,NL1,Astrocyte
Tmf1,-1.455497,0.548621275175879,0.822094002442231,NL1,Astrocyte
Ptprz1,1.213579,0.436409738016997,0.339907091966332,NL1,Astrocyte
Arxes1,1.525206,0.157865815455543,0.264311810320147,NL1,Astrocyte
H2ac8,-1.613997,0.1012908382917,0.0734346853096894,NL1,Astrocyte
Zbed6,1.425577,0.226003771235195,0.42009237996764,NL1,Astrocyte
Akap5,-1.127825,0.297160190394877,0.103470417639107,NL1,Astrocyte
Dgki,-1.36601,0.176736557058223,0.0951191920552606,NL1,Astrocyte
Dgkh,1.118933,0.442005336995516,0.169739466792754,NL1,Astrocyte
Safb,-1.193369,0.64127190360549,0.433140767401979,NL1,Astrocyte
Obsl1,-1.88918,0.0210136408363636,0.00906748325867299,NL1,Astrocyte
Mthfd2l,1.366238,0.0665583929212121,0.12002443710782,NL1,Astrocyte
Pgbd5,1.587344,0.306084358803062,0.42499125557329,NL1,Astrocyte
Ccdc6,-4.036782,0.0199159702433862,0.0481281769227038,NL1,Astrocyte
Shank1,-1.166175,0.0739095494331551,0.0582930302628753,NL1,Astrocyte
Ccdc8,2.514337,0.235573019106191,1.40566575938576,NL1,Astrocyte
Gsg1l,2.024758,0.260635516975309,0.944973030115821,NL1,Astrocyte
Gls,1.185899,0.0727678004798255,0.0811803566846658,NL1,Astrocyte
Soga1,-2.666894,0.0338632189411765,0.049421259511024,NL1,Astrocyte
Prrt2,1.202925,0.504571900918394,0.334186823540512,NL1,Astrocyte
Dgkd,1.151369,0.44503428175468,0.140803934914031,NL1,Astrocyte
