gs_long,counts,condition
Auts2,NA,NL1_A
Cul4b,NA,NL1_A
Arfgef2,NA,NL1_A
Smurf2,NA,NL1_A
Tanc2,NA,NL1_A
Fam171a2,NA,NL1_A
Kiaa1522,NA,NL1_A
Ptprf,NA,NL1_A
Tmem201,NA,NL1_A
Osbpl9,NA,NL1_A
Kiaa1109,NA,NL1_A
Sh3pxd2b,NA,NL1_A
Faap100,19103.006179471,NL1_A
Ddi2,NA,NL1_A
Ccdc120,NA,NL1_A
Frmpd4,NA,NL1_A
Kiaa1324,NA,NL1_A
Map7d2,NA,NL1_A
Ryr3,NA,NL1_A
Ckap5,NA,NL1_A
Camsap1,NA,NL1_A
Lzts3,NA,NL1_A
Ano3,NA,NL1_A
Pnpla7,NA,NL1_A
Ajm1,7806166.89500558,NL1_A
Map7d1,NA,NL1_A
Frmpd1,NA,NL1_A
Focad,NA,NL1_A
Ajap1,NA,NL1_A
Rap1gap,NA,NL1_A
Shroom2,NA,NL1_A
Ubr4,NA,NL1_A
Syndig1,NA,NL1_A
Plch2,NA,NL1_A
Klhdc7a,NA,NL1_A
Fmnl2,NA,NL1_A
Tubb1,NA,NL1_A
Skt,NA,NL1_A
Myh7b,NA,NL1_A
Ralgps1,NA,NL1_A
Ppip5k1,NA,NL1_A
Fsip2,6990588.83548635,NL1_A
Ttn,NA,NL1_A
Slc25a25,NA,NL1_A
Rabgap1,NA,NL1_A
Arhgef10l,NA,NL1_A
Mocs3,NA,NL1_A
Kalrn,NA,NL1_A
Uhrf1bp1l,NA,NL1_A
Dennd5b,NA,NL1_A
Tyw5,NA,NL1_A
Fbxl16,NA,NL1_A
Tbc1d8b,NA,NL1_A
Ttc38,NA,NL1_A
Krt28,NA,NL1_A
Exoc6b,NA,NL1_A
Nwd1,NA,NL1_A
Armt1,NA,NL1_A
Rabgap1l,NA,NL1_A
Dennd4c,NA,NL1_A
Kcnb2,NA,NL1_A
Dpy19l1,NA,NL1_A
Tmem215,NA,NL1_A
Thada,NA,NL1_A
Nlgn4l,NA,NL1_A
Ptprs,NA,NL1_A
Krt36,NA,NL1_A
Cisd3,NA,NL1_A
Grik3,NA,NL1_A
Ptpru,NA,NL1_A
Uprt,NA,NL1_A
Scn2a,NA,NL1_A
Nhsl2,NA,NL1_A
Frrs1l,NA,NL1_A
Usp24,NA,NL1_A
Dlgap4,NA,NL1_A
Cad,NA,NL1_A
Arhgap42,NA,NL1_A
Ythdc2,NA,NL1_A
Otud4,NA,NL1_A
Gnai1,NA,NL1_A
Apba1,NA,NL1_A
Otud7b,NA,NL1_A
Trappc11,NA,NL1_A
Plxnb2,NA,NL1_A
Rbm25,NA,NL1_A
Ildr2,NA,NL1_A
Clip3,NA,NL1_A
Pdzd8,NA,NL1_A
Osbpl8,NA,NL1_A
Cttnbp2,NA,NL1_A
Tmem229a,NA,NL1_A
Ptprz1,NA,NL1_A
Akap5,NA,NL1_A
Hmcn1,NA,NL1_A
Safb,NA,NL1_A
Mthfd2l,NA,NL1_A
Pgbd5,NA,NL1_A
Ccdc6,NA,NL1_A
Shank1,NA,NL1_A
Gsg1l,235107.118595615,NL1_A
Gls,NA,NL1_A
Prrt2,NA,NL1_A
Fga,NA,NL1_A
Gcn1,NA,NL1_A
Dchs1,1093739.02532409,NL1_A
Sbf2,1291308.99708512,NL1_A
Igsf9b,NA,NL1_A
Pi4ka,NA,NL1_A
Ryr2,NA,NL1_A
Wdfy1,NA,NL1_A
Dsp,NA,NL1_A
Ptpro,NA,NL1_A
Myo1e,NA,NL1_A
Ccdc85c,NA,NL1_A
Xkr6,NA,NL1_A
Ube4a,NA,NL1_A
Numa1,NA,NL1_A
Nrxn2,NA,NL1_A
Fry,NA,NL1_A
Dlg5,NA,NL1_A
Sec16a,NA,NL1_A
Syngap1,NA,NL1_A
Tpr,NA,NL1_A
Farp1,NA,NL1_A
Sipa1l3,NA,NL1_A
Arfgef1,NA,NL1_A
Rab11fip2,NA,NL1_A
Atp2b1,NA,NL1_A
Trip12,NA,NL1_A
Ank3,NA,NL1_A
Shisa8,NA,NL1_A
Capn2,NA,NL1_A
S1pr1,NA,NL1_A
Bin1,NA,NL1_A
Sec22b,NA,NL1_A
Dpysl2,NA,NL1_A
Rundc3a,NA,NL1_A
Emd,NA,NL1_A
Gtpbp1,NA,NL1_A
Alyref,NA,NL1_A
Pten,7197417.57314011,NL1_A
Stxbp1,NA,NL1_A
Endog,NA,NL1_A
Ephb6,830631.083331865,NL1_A
Capn5,NA,NL1_A
Prdx6,NA,NL1_A
Akap1,NA,NL1_A
Casp6,NA,NL1_A
Ampd3,NA,NL1_A
Unc5c,NA,NL1_A
Hsd17b10,NA,NL1_A
Ube3a,NA,NL1_A
Dctn1,NA,NL1_A
Eef2k,NA,NL1_A
Prdx4,NA,NL1_A
Eftud2,NA,NL1_A
Gfra2,NA,NL1_A
RO60,NA,NL1_A
Pik3r2,NA,NL1_A
Aip,NA,NL1_A
Flot1,NA,NL1_A
Numbl,NA,NL1_A
Cyth3,NA,NL1_A
Hps1,NA,NL1_A
Pex5,NA,NL1_A
Snap23,6063785.63361617,NL1_A
Psmb1,NA,NL1_A
Ndufb11,2354216.2777456,NL1_A
Sema4d,NA,NL1_A
Epha8,NA,NL1_A
Rpl21,NA,NL1_A
Gclm,NA,NL1_A
Kif1c,NA,NL1_A
Vps26c,NA,NL1_A
Agpat1,NA,NL1_A
