GeneSymbol,FC,pval,BioID,cell
Ralgapb,-1.1653,0.05995602,NL1,Astrocyte
Cpsf4,1.058468,0.5062534,NL1,Astrocyte
Bicd1,-1.558288,0.1224585,NL1,Astrocyte
Fam177a1,-2.247827,0.1182315,NL1,Astrocyte
Kirrel3,1.383682,0.1692838,NL1,Astrocyte
Rimoc1,-1.926971,0.06825813,NL1,Astrocyte
Palm2,1.012367,0.9781844,NL1,Astrocyte
Scfd1,-1.174153,0.2024069,NL1,Astrocyte
Tmem209,1.420582,0.0608345,NL1,Astrocyte
Rell2,-1.039261,0.817125,NL1,Astrocyte
Prkaa2,1.042976,0.4685499,NL1,Astrocyte
Cc2d1b,1.057273,0.6365986,NL1,Astrocyte
Clasp2,-2.922318,9.323571e-05,NL1,Astrocyte
Slc18a2,1.679793,0.3510545,NL1,Astrocyte
Kiaa1671,1.272561,0.05134617,NL1,Astrocyte
Cptp,2.527839,0.06563926,NL1,Astrocyte
Gpr89,1.948084,0.2202473,NL1,Astrocyte
Rmdn2,-1.997594,0.03214603,NL1,Astrocyte
Pisd,1.437279,0.04189681,NL1,Astrocyte
Rps6kb1,11.81437,0.02319758,NL1,Astrocyte
Arf2,1.149768,0.1731132,NL1,Astrocyte
Ppfia2,1.589523,0.6163352,NL1,Astrocyte
Ap3s2,-1.14859,0.1436963,NL1,Astrocyte
Cpne3,1.253481,0.0942989,NL1,Astrocyte
Tcp11l1,-1.695375,0.02340871,NL1,Astrocyte
Ndrg4,1.254269,0.1328895,NL1,Astrocyte
Csnk1g1,1.289175,0.1565591,NL1,Astrocyte
Ankrd52,-1.321994,0.06143007,NL1,Astrocyte
Srrm2,1.116289,0.5786437,NL1,Astrocyte
Pik3cb,-1.057611,0.6807743,NL1,Astrocyte
Flna,-3.63496,0.0013998,NL1,Astrocyte
Cfap20,1.02072,0.5669815,NL1,Astrocyte
Tusc3,1.429633,0.7488076,NL1,Astrocyte
Cpsf7,-1.093873,0.4006394,NL1,Astrocyte
Pak4,-1.770838,0.1689076,NL1,Astrocyte
Hsdl1,1.044609,0.428087,NL1,Astrocyte
Slc4a7,1.479389,0.06952427,NL1,Astrocyte
Scfd2,-3.097473,0.01725934,NL1,Astrocyte
Anapc5,-1.794568,0.04503473,NL1,Astrocyte
Gmppb,1.428445,0.0199925,NL1,Astrocyte
Tox4,-4.299454,0.0009353587,NL1,Astrocyte
Sec62,77.49979,0.003302524,NL1,Astrocyte
Iars1,1.085157,0.1707942,NL1,Astrocyte
Rap2c,1.640199,0.01410546,NL1,Astrocyte
Ilvbl,1.279001,0.09654226,NL1,Astrocyte
Aifm2,1.073635,0.7116212,NL1,Astrocyte
Txnl4b,1.112308,0.5218051,NL1,Astrocyte
Hook3,-2.973094,0.0009197103,NL1,Astrocyte
Plekha1,1.263574,0.03784292,NL1,Astrocyte
Fam163b,-1.420445,0.5236237,NL1,Astrocyte
Usp43,1.131417,0.8148514,NL1,Astrocyte
Slc24a2,1.277222,0.05129336,NL1,Astrocyte
Dock1,-1.472293,0.005565114,NL1,Astrocyte
Gphn,-1.600555,0.0006719196,NL1,Astrocyte
Lsm11,-1.343868,0.4095426,NL1,Astrocyte
Gprasp2,-1.893063,0.02285116,NL1,Astrocyte
Pggt1b,-1.157192,0.3259844,NL1,Astrocyte
Ldah,502.0817,6.689405e-05,NL1,Astrocyte
Mpp7,1.340765,0.2480815,NL1,Astrocyte
Atp6v1h,1.259265,0.02651395,NL1,Astrocyte
Pdcl3,-4.591008,0.09018515,NL1,Astrocyte
Dpp9,-1.044203,0.6433867,NL1,Astrocyte
Nat14,1.462089,0.2065005,NL1,Astrocyte
Qdpr,1.335819,0.01028331,NL1,Astrocyte
Stx16,1.176604,0.1060873,NL1,Astrocyte
Jakmip1,-4.567464,0.00266728,NL1,Astrocyte
Ppme1,1.091883,0.1591169,NL1,Astrocyte
Lrch3,-1.532103,0.02725499,NL1,Astrocyte
Nudt9,-1.499449,0.06650953,NL1,Astrocyte
Ganc,-1.141289,0.567765,NL1,Astrocyte
Rsl1d1,-1.136646,0.6009432,NL1,Astrocyte
Usp38,-1.383073,0.02437341,NL1,Astrocyte
Maob,1.127858,0.15699,NL1,Astrocyte
Camk1d,-1.120338,0.0090346,NL1,Astrocyte
Aldh5a1,1.295128,0.02572338,NL1,Astrocyte
KIAA1755,1.064904,0.4964049,NL1,Astrocyte
Arrb1,1.262407,0.05981447,NL1,Astrocyte
Orai1,1.06613,0.8870563,NL1,Astrocyte
Phka2,-2.124308,0.004472483,NL1,Astrocyte
Ptges2,1.167042,0.2285968,NL1,Astrocyte
B4gat1,1.023611,0.8644192,NL1,Astrocyte
Vps35l,1.39861,0.08283424,NL1,Astrocyte
Pithd1,1.020744,0.8613793,NL1,Astrocyte
Gprin3,-2.268651,0.0149922,NL1,Astrocyte
Acaa2,1.253607,0.28074,NL1,Astrocyte
Dip2a,-1.279757,0.001864045,NL1,Astrocyte
Pkn2,-1.514525,0.005015434,NL1,Astrocyte
Etf1,-1.550099,0.05382853,NL1,Astrocyte
Naa25,1.174798,0.2311501,NL1,Astrocyte
Kank2,-1.647872,0.001698301,NL1,Astrocyte
Rbbp5,-9.619416,2.746138e-05,NL1,Astrocyte
Pgam5,1.309706,0.03520398,NL1,Astrocyte
Vps13c,-1.110033,0.2168883,NL1,Astrocyte
Osbpl2,1.040997,0.5330734,NL1,Astrocyte
Lrfn5,-1.241527,0.2677597,NL1,Astrocyte
Agap1,1.085337,0.6549394,NL1,Astrocyte
Tmem87a,1.207056,0.1060741,NL1,Astrocyte
Pigt,1.199837,0.1298298,NL1,Astrocyte
Slc7a14,1.04692,0.5729954,NL1,Astrocyte
Nalcn,-1.106461,0.5348041,NL1,Astrocyte
Osbpl6,-1.124527,0.2085309,NL1,Astrocyte
Tmx3,-1.077746,0.7492223,NL1,Astrocyte
Nkrf,-1.060685,0.6196193,NL1,Astrocyte
Usp47,-2.43975,0.01164728,NL1,Astrocyte
Slc44a2,1.084396,0.800221,NL1,Astrocyte
Tbcd,-1.199708,0.2484771,NL1,Astrocyte
Poglut1,-12.08687,0.05485971,NL1,Astrocyte
Taok3,-3.345554,0.001670295,NL1,Astrocyte
Tbc1d17,-1.302737,0.2279918,NL1,Astrocyte
Lpcat2,-1.027185,0.8013972,NL1,Astrocyte
Fam234b,-1.037875,0.7297269,NL1,Astrocyte
Tnr,1.135882,0.2078006,NL1,Astrocyte
Phactr3,1.224739,0.3248773,NL1,Astrocyte
Ythdf3,-1.283732,0.2512698,NL1,Astrocyte
Yars2,1.216879,0.3861413,NL1,Astrocyte
Nlgn3,1.401195,0.06937101,NL1,Astrocyte
Itpk1,-5.76743,0.1539948,NL1,Astrocyte
Fsd1l,1.097361,0.5079388,NL1,Astrocyte
Rhof,1.410647,0.06603087,NL1,Astrocyte
Cadps2,-1.184487,0.3193524,NL1,Astrocyte
Arhgap25,-1.120804,0.8713558,NL1,Astrocyte
Eogt,1.609763,0.04562704,NL1,Astrocyte
Ttc39b,1.297865,0.4002884,NL1,Astrocyte
Abi3,3.326056,0.003601817,NL1,Astrocyte
Elmo3,1.633046,0.1244405,NL1,Astrocyte
Slc9a9,1.188763,0.1760075,NL1,Astrocyte
Arap2,1.092006,0.4108062,NL1,Astrocyte
Rint1,-1.341276,0.1572329,NL1,Astrocyte
Ston2,-1.135682,0.2993074,NL1,Astrocyte
Lrrtm3,-1.014443,0.921856,NL1,Astrocyte
Dnm3,1.134813,0.2146757,NL1,Astrocyte
Tigar,-1.024043,0.8726304,NL1,Astrocyte
Tmem266,-1.267333,0.7546276,NL1,Astrocyte
Pogz,-2.04529,0.000315958,NL1,Astrocyte
C8orf34,4.942806,0.7351548,NL1,Astrocyte
Glmn,-1.004734,0.9184518,NL1,Astrocyte
Dock10,1.105131,0.639369,NL1,Astrocyte
Sowahb,-1.293654,0.5536556,NL1,Astrocyte
Nhlrc2,-1.207046,0.1913376,NL1,Astrocyte
Trim35,-1.098922,0.5995313,NL1,Astrocyte
Dzank1,1.225432,0.03709616,NL1,Astrocyte
Pak5,1.029585,0.6825007,NL1,Astrocyte
Lrrc4c,1.885149,0.04881007,NL1,Astrocyte
Rps6ka5,-3.545523,0.002305096,NL1,Astrocyte
Map1s,-1.032792,0.6500405,NL1,Astrocyte
Camkk2,1.210655,0.02259776,NL1,Astrocyte
Strip1,-1.158504,0.04725536,NL1,Astrocyte
Snx16,-1.151946,0.1884949,NL1,Astrocyte
Farsa,-1.107297,0.3102073,NL1,Astrocyte
Arhgap12,1.023062,0.8266856,NL1,Astrocyte
Efl1,-1.224445,0.000828426,NL1,Astrocyte
Vps26b,1.330828,0.1013416,NL1,Astrocyte
Agps,-1.023111,0.8200976,NL1,Astrocyte
Atg16l1,-1.491227,0.04389603,NL1,Astrocyte
Sowahc,1.027165,0.9919674,NL1,Astrocyte
Slc25a16,1.164362,0.4705907,NL1,Astrocyte
Tmx4,1.691184,0.0546167,NL1,Astrocyte
Gpcpd1,-1.063129,0.2286355,NL1,Astrocyte
Asrgl1,-1.721314,0.004233759,NL1,Astrocyte
Coro2a,1.074382,0.3142072,NL1,Astrocyte
Zhx3,-9.538895,0.0003904014,NL1,Astrocyte
Sipa1l1,1.033116,0.6482088,NL1,Astrocyte
Tlk1,-1.829532,0.179487,NL1,Astrocyte
Ppp4r4,1.095538,0.6620235,NL1,Astrocyte
Sh3rf3,1.792084,0.06604498,NL1,Astrocyte
Lnpep,8.041505,0.2973083,NL1,Astrocyte
Slc39a6,-2.213308,0.2266646,NL1,Astrocyte
Cpne1,1.080662,0.4105159,NL1,Astrocyte
Prepl,-1.276664,0.01151566,NL1,Astrocyte
Myo9a,1.01298,0.8734434,NL1,Astrocyte
Cers6,1.392409,0.1015675,NL1,Astrocyte
Frs2,2.723515,0.003194003,NL1,Astrocyte
Vps9d1,-18.75814,3.781932e-06,NL1,Astrocyte
Thop1,-1.007838,0.8796152,NL1,Astrocyte
Camsap2,-3.71402,0.000465757,NL1,Astrocyte
Septin11,1.386718,0.0008644233,NL1,Astrocyte
Tmem120a,1.545372,0.007886075,NL1,Astrocyte
Znf428,-1.529112,0.01771525,NL1,Astrocyte
Ccz1,1.542773,0.1365453,NL1,Astrocyte
Washc5,1.174269,0.2867645,NL1,Astrocyte
Rbm14,-1.861886,0.000354775,NL1,Astrocyte
Rft1,1.226878,0.08242236,NL1,Astrocyte
Fam120c,-1.81322,0.001182465,NL1,Astrocyte
Shisa7,1.307615,0.3288242,NL1,Astrocyte
Brat1,-5.455962,0.01878268,NL1,Astrocyte
C1orf198,-1.20265,0.283247,NL1,Astrocyte
Guf1,19.98654,0.1885195,NL1,Astrocyte
Lmf2,1.679105,0.1770985,NL1,Astrocyte
Gpr158,-1.106662,0.3671375,NL1,Astrocyte
Pex5l,1.599042,0.05610759,NL1,Astrocyte
Eri3,1.507102,0.2220424,NL1,Astrocyte
Adgra1,1.41579,0.01044574,NL1,Astrocyte
Tbl3,1.354646,0.1327772,NL1,Astrocyte
Aida,1.380987,0.1372194,NL1,Astrocyte
Csnk1g3,1.590938,0.01318045,NL1,Astrocyte
Endod1,1.133199,0.06367495,NL1,Astrocyte
Mb21d2,-1.113037,0.6219705,NL1,Astrocyte
Heatr5b,-1.120487,0.1690787,NL1,Astrocyte
Lmbrd2,1.318741,0.0443828,NL1,Astrocyte
Rae1,1.150056,0.362501,NL1,Astrocyte
Ano4,11.65166,0.2987145,NL1,Astrocyte
Nadk2,-1.133438,0.2321924,NL1,Astrocyte
Cnot2,-3.843426,0.0005061342,NL1,Astrocyte
Tdrp,-1.755289,0.09103062,NL1,Astrocyte
Clmn,-3.513381,0.0008672197,NL1,Astrocyte
Tbcel,-2.227944,0.01396377,NL1,Astrocyte
Septin10,-1.478643,0.2064574,NL1,Astrocyte
Peli1,1.06997,0.4689912,NL1,Astrocyte
Rtkn,-1.156066,0.107204,NL1,Astrocyte
Cfap36,-4.889823,0.001978507,NL1,Astrocyte
Wdr26,-1.013293,0.8151861,NL1,Astrocyte
Usp20,1.004818,0.9331118,NL1,Astrocyte
Fam126b,1.183092,0.07958111,NL1,Astrocyte
Fam110b,-1.847071,0.2269237,NL1,Astrocyte
Katnip,-5.188371,0.001992189,NL1,Astrocyte
Vps52,1.380019,0.02766379,NL1,Astrocyte
Fam221a,2.039161,0.5409591,NL1,Astrocyte
Crbn,2.098368,0.02478916,NL1,Astrocyte
Cstf2t,-5.074014,0.0001974653,NL1,Astrocyte
Mmaa,1.524733,0.02849386,NL1,Astrocyte
Pcyox1l,1.255568,0.2433093,NL1,Astrocyte
Trim9,1.004972,0.9485168,NL1,Astrocyte
Uba6,-1.456995,0.02302523,NL1,Astrocyte
N4bp3,1.553496,0.4024567,NL1,Astrocyte
Utp15,1.167879,0.6613964,NL1,Astrocyte
Emc1,1.444968,0.01461401,NL1,Astrocyte
Tmem200a,1.540938,0.08003114,NL1,Astrocyte
Myef2,-1.090093,0.4227738,NL1,Astrocyte
Itch,1.171402,0.2420078,NL1,Astrocyte
Uba3,-1.114848,0.0102758,NL1,Astrocyte
Scai,1.243649,0.05844257,NL1,Astrocyte
Ank2,-1.514454,0.0002127853,NL1,Astrocyte
Elfn1,-1.45306,0.02786267,NL1,Astrocyte
Ppfibp1,-1.052541,0.4870908,NL1,Astrocyte
Tmem163,1.529078,0.02468735,NL1,Astrocyte
Dido1,-2.780532,0.1313682,NL1,Astrocyte
Strip2,-1.052113,0.7056606,NL1,Astrocyte
Shisa4,7.241716,0.002603149,NL1,Astrocyte
Gan,1.131965,0.4456259,NL1,Astrocyte
Pde10a,-1.037123,0.9653132,NL1,Astrocyte
Pgm2l1,1.181745,0.04464505,NL1,Astrocyte
Castor2,1.162309,0.4657338,NL1,Astrocyte
Podxl2,15.9105,0.03393809,NL1,Astrocyte
Nhsl1,1.360978,0.1650106,NL1,Astrocyte
Iba57,1.264095,0.2229034,NL1,Astrocyte
Rab36,1.560562,0.4281376,NL1,Astrocyte
Immt,1.41744,0.008571591,NL1,Astrocyte
Parp9,-1.306704,0.2553575,NL1,Astrocyte
Acat2,1.091274,0.3095889,NL1,Astrocyte
Yod1,1.232889,0.05825304,NL1,Astrocyte
Cnst,-2.027207,0.1512945,NL1,Astrocyte
Wdr37,1.047189,0.3508572,NL1,Astrocyte
Mfsd6,1.74764,0.3072904,NL1,Astrocyte
Abi1,4.041089,0.001280583,NL1,Astrocyte
Tmem63c,1.174879,0.218332,NL1,Astrocyte
Samd4a,-1.398968,0.3053878,NL1,Astrocyte
Dctn4,-2.12929,0.0007879907,NL1,Astrocyte
Cacnb2,-5.811939,0.6454569,NL1,Astrocyte
Synpo,-1.121994,0.1489962,NL1,Astrocyte
Vwa8,1.005482,0.9539399,NL1,Astrocyte
Vps53,1.146946,0.2516179,NL1,Astrocyte
Prpf31,-1.764204,0.0007476105,NL1,Astrocyte
Ufl1,-1.7807,0.005318014,NL1,Astrocyte
Amer2,1.11867,0.2739633,NL1,Astrocyte
Phf20l1,-3.002389,0.02491075,NL1,Astrocyte
Macroh2a2,-1.127543,0.360984,NL1,Astrocyte
Timm21,1.265583,0.1521563,NL1,Astrocyte
Bcas3,-1.17671,0.0006526869,NL1,Astrocyte
Nemf,-1.080524,0.3165144,NL1,Astrocyte
Tceal5,1.020465,0.8979629,NL1,Astrocyte
Insyn1,1.117173,0.5704199,NL1,Astrocyte
Ttc27,1.202238,0.1762316,NL1,Astrocyte
Inpp5f,-2.136506,0.0007804158,NL1,Astrocyte
Vcpip1,-1.695232,7.723506e-05,NL1,Astrocyte
Ston1,-1.489749,0.1434152,NL1,Astrocyte
Fhip2a,1.115836,0.461398,NL1,Astrocyte
Txnl1,-1.023214,0.4679631,NL1,Astrocyte
Acp3,-2.311431,0.3066101,NL1,Astrocyte
Klhl11,1.198119,0.3395976,NL1,Astrocyte
Snx30,-1.030043,0.7097655,NL1,Astrocyte
Map2k7,-1.077792,0.5277844,NL1,Astrocyte
Nup88,-1.321225,0.07257431,NL1,Astrocyte
Rdh13,4.355342,0.1499758,NL1,Astrocyte
Tmem132c,-1.044763,0.7191351,NL1,Astrocyte
Naa30,-1.238015,0.2251971,NL1,Astrocyte
Tab1,-2.24762,0.0488403,NL1,Astrocyte
Amt,1.252828,0.5326067,NL1,Astrocyte
Gbp5,-1.129258,0.6659208,NL1,Astrocyte
Snx8,-1.007458,0.9230085,NL1,Astrocyte
Scyl2,-1.143892,0.4168552,NL1,Astrocyte
Sik2,1.035968,0.8951769,NL1,Astrocyte
Nedd4l,1.623357,0.01124228,NL1,Astrocyte
Polr2b,-1.612709,0.08226912,NL1,Astrocyte
Wdr24,-2.751242,0.00175847,NL1,Astrocyte
Aqr,-1.318713,0.3958585,NL1,Astrocyte
Cox10,2.015123,0.06881327,NL1,Astrocyte
Rab43,1.511197,0.02574087,NL1,Astrocyte
Adprs,-1.084143,0.6257295,NL1,Astrocyte
Rpgrip1l,-1.620063,0.04446898,NL1,Astrocyte
Akr7a2,-1.409757,0.3205402,NL1,Astrocyte
Tp53bp2,-1.492336,0.03859711,NL1,Astrocyte
Shf,-1.050319,0.7752243,NL1,Astrocyte
Ppm1f,1.116082,0.03197021,NL1,Astrocyte
Slc43a2,1.472684,0.01926754,NL1,Astrocyte
Eprs1,-1.287226,0.00382304,NL1,Astrocyte
Rgs12,1.552389,0.06630885,NL1,Astrocyte
Wdr47,-1.10084,0.4554209,NL1,Astrocyte
Tcerg1,-3.164675,0.0004822211,NL1,Astrocyte
Lonp1,1.424477,0.007013288,NL1,Astrocyte
Gnal,1.411961,0.1118212,NL1,Astrocyte
Adgrb2,2.186684,0.001814874,NL1,Astrocyte
Slc24a4,1.761585,0.08047141,NL1,Astrocyte
Calcoco1,-1.699747,0.04827825,NL1,Astrocyte
Tph2,1.295244,0.04898961,NL1,Astrocyte
Ogt,1.080829,0.2864283,NL1,Astrocyte
Cherp,-17.755,0.0008374438,NL1,Astrocyte
Sugp1,1.598885,0.9651771,NL1,Astrocyte
Sugp2,-6.612959,0.009923851,NL1,Astrocyte
Ccar1,-3.143894,0.000492471,NL1,Astrocyte
Sltm,-8.903064,0.07059769,NL1,Astrocyte
Trim32,1.44256,0.003985111,NL1,Astrocyte
Nav1,-1.114687,0.1933834,NL1,Astrocyte
Synj1,1.042437,0.625563,NL1,Astrocyte
Phlpp1,-1.09415,0.4247052,NL1,Astrocyte
Rapgef2,1.228799,0.1088128,NL1,Astrocyte
Septin8,1.145582,0.006506041,NL1,Astrocyte
Ep400,-1.161319,0.4574544,NL1,Astrocyte
Mboat7,1.27825,0.7334134,NL1,Astrocyte
Pym1,-1.380984,0.1124886,NL1,Astrocyte
Pgp,1.209679,0.1216162,NL1,Astrocyte
Dpyd,-2.070548,0.01121332,NL1,Astrocyte
Vps37a,-1.244214,0.1915126,NL1,Astrocyte
Aldh4a1,-2.728539,0.2040209,NL1,Astrocyte
Ngef,-1.02555,0.644603,NL1,Astrocyte
Epn2,1.256145,0.1043215,NL1,Astrocyte
Eif2b5,-1.147227,0.4644328,NL1,Astrocyte
Rftn2,1.800042,0.04764611,NL1,Astrocyte
Dym,1.347101,0.2904793,NL1,Astrocyte
Gatad2a,-2.854789,0.00125739,NL1,Astrocyte
Cog3,-2.784693,0.1775634,NL1,Astrocyte
Slain2,-3.14114,0.021335,NL1,Astrocyte
Cwf19l1,1.092618,0.6506678,NL1,Astrocyte
Myl6b,-1.085921,0.8913833,NL1,Astrocyte
Pdlim5,-1.773204,0.03700552,NL1,Astrocyte
Steap3,1.556569,0.02627559,NL1,Astrocyte
Vps50,-1.007334,0.9298673,NL1,Astrocyte
Dis3l2,-1.129523,0.5240287,NL1,Astrocyte
Pygb,-2.480964,0.001905461,NL1,Astrocyte
Osbpl11,-1.451217,0.030829,NL1,Astrocyte
Fermt2,1.090617,0.5241744,NL1,Astrocyte
Nup42,-1.400839,0.2412346,NL1,Astrocyte
Copa,-1.063485,0.1141609,NL1,Astrocyte
Prmt5,1.121205,0.3865712,NL1,Astrocyte
Ppat,1.037372,0.5721365,NL1,Astrocyte
D2hgdh,-1.086482,0.7545817,NL1,Astrocyte
Ints4,1.315668,0.1560157,NL1,Astrocyte
Pak2,-1.896604,0.04142118,NL1,Astrocyte
Mark4,1.293617,0.1787592,NL1,Astrocyte
Disp2,4.645403,0.1362349,NL1,Astrocyte
Dock3,1.038703,0.6272433,NL1,Astrocyte
Tmem259,60.03085,0.019597,NL1,Astrocyte
Tbce,1.104845,0.2244307,NL1,Astrocyte
Slc26a6,-1.003577,0.9313838,NL1,Astrocyte
Mical3,-1.085298,0.4019436,NL1,Astrocyte
Cmtm4,-1.020173,0.801677,NL1,Astrocyte
Stau2,-1.240906,0.4007157,NL1,Astrocyte
Rassf8,1.322731,0.3509688,NL1,Astrocyte
Ahctf1,-2.664348,0.02948229,NL1,Astrocyte
Ago2,-1.070788,0.05587716,NL1,Astrocyte
Ago1,-1.14238,0.374674,NL1,Astrocyte
Plxnb1,1.247112,0.05152149,NL1,Astrocyte
Hmgcs1,-1.285926,0.01250819,NL1,Astrocyte
Mchr1,1.219824,0.4183479,NL1,Astrocyte
Dner,1.410252,0.007494133,NL1,Astrocyte
Cdc73,-1.577771,0.09646451,NL1,Astrocyte
Acad9,1.32054,0.004848751,NL1,Astrocyte
Rhot2,-1.216299,0.363026,NL1,Astrocyte
Syn3,1.1598,0.05043409,NL1,Astrocyte
Klhl2,-1.653242,0.5450152,NL1,Astrocyte
Gas2l1,1.039395,0.9055937,NL1,Astrocyte
Afg3l2,1.527231,0.006404293,NL1,Astrocyte
Eif3b,1.113169,0.1101856,NL1,Astrocyte
Acsl5,1.316789,0.05994667,NL1,Astrocyte
Slc4a8,1.460404,0.03714069,NL1,Astrocyte
Lin7a,1.246805,0.1446827,NL1,Astrocyte
Slc25a1,1.35428,0.05054609,NL1,Astrocyte
Amdhd2,1.297329,0.1880433,NL1,Astrocyte
Cpne5,-1.017682,0.8985104,NL1,Astrocyte
Sh2d5,-1.541797,0.06887788,NL1,Astrocyte
Rbm17,-3.776963,0.00418917,NL1,Astrocyte
Adgrl2,-1.110736,0.6555388,NL1,Astrocyte
Spata2,-1.727737,0.2435794,NL1,Astrocyte
Aldh1l2,1.136009,0.05598358,NL1,Astrocyte
Oplah,1.500341,0.4342393,NL1,Astrocyte
Fnbp1l,-1.10506,0.5413301,NL1,Astrocyte
Bclaf1,-5.734152,3.452667e-05,NL1,Astrocyte
Scamp1,1.278144,0.0228686,NL1,Astrocyte
KIAA1143,-3.237633,0.0008437641,NL1,Astrocyte
Ift80,-1.081122,0.6124456,NL1,Astrocyte
Samd14,1.527437,0.815314,NL1,Astrocyte
Trhde,1.179778,0.3894911,NL1,Astrocyte
Faim2,1.849178,0.03149818,NL1,Astrocyte
Cyp51a1,1.493315,0.06726585,NL1,Astrocyte
Gmds,-1.445535,0.1679094,NL1,Astrocyte
Cdk17,-1.042363,0.7530832,NL1,Astrocyte
Gfm1,1.170797,0.2596547,NL1,Astrocyte
Get1,1.187174,0.1855776,NL1,Astrocyte
Tbc1d23,-1.203021,0.1091276,NL1,Astrocyte
Eipr1,1.114193,0.1989147,NL1,Astrocyte
Meak7,-1.112071,0.5573055,NL1,Astrocyte
Arhgap18,-1.767139,0.1219167,NL1,Astrocyte
Phyhip,1.240404,0.007340913,NL1,Astrocyte
Erich5,-1.46187,0.3674289,NL1,Astrocyte
Rtn1,1.286821,0.1356564,NL1,Astrocyte
Katnal1,-1.614634,0.01301435,NL1,Astrocyte
Unc13c,1.280202,0.195453,NL1,Astrocyte
Hspa12a,1.261524,0.00389169,NL1,Astrocyte
Dcun1d3,1.69746,0.01865804,NL1,Astrocyte
Fez1,-1.199383,0.1788701,NL1,Astrocyte
Taco1,1.213678,0.4606955,NL1,Astrocyte
Ints9,1.707746,0.001060583,NL1,Astrocyte
Plekho2,1.245445,0.1898165,NL1,Astrocyte
Mtrf1,-1.969495,0.006922485,NL1,Astrocyte
Kiaa0319l,1.455841,0.03283446,NL1,Astrocyte
Pdxk,1.064365,0.7105548,NL1,Astrocyte
Tmem41b,-1.300685,0.05095258,NL1,Astrocyte
Cc2d1a,1.082919,0.1793171,NL1,Astrocyte
Angel2,1.317468,0.2354175,NL1,Astrocyte
Stx5,-4.222844,0.1535952,NL1,Astrocyte
Alkbh3,-1.375943,0.2413914,NL1,Astrocyte
Tdrd7,-2.162479,0.03609747,NL1,Astrocyte
Trnt1,-1.017684,0.917302,NL1,Astrocyte
Ppp1r11,-2.312469,0.01378326,NL1,Astrocyte
Dnm1l,-1.978678,0.005390397,NL1,Astrocyte
Pnpla8,1.022161,0.7728797,NL1,Astrocyte
Spats2,-12.49209,0.07188272,NL1,Astrocyte
Pnpt1,1.047726,0.7336478,NL1,Astrocyte
Nek9,-6.600703,0.0009993785,NL1,Astrocyte
Unc5d,6.029451,0.9125071,NL1,Astrocyte
Unc5b,-1.395693,0.03730654,NL1,Astrocyte
Unc5a,1.010351,0.9427093,NL1,Astrocyte
Spire2,1.072699,0.8782697,NL1,Astrocyte
Wdr11,-1.559744,0.004069346,NL1,Astrocyte
Nckap1l,1.453635,0.2918993,NL1,Astrocyte
C1orf21,3.029855,0.0913437,NL1,Astrocyte
Slc31a1,1.489949,0.05307436,NL1,Astrocyte
Pacs1,1.015522,0.7236368,NL1,Astrocyte
Arfip2,-1.494088,0.0436718,NL1,Astrocyte
Nat10,2.946351,0.1828461,NL1,Astrocyte
Uvrag,-1.400562,0.3210888,NL1,Astrocyte
Abcf3,-1.915931,0.03752193,NL1,Astrocyte
Fn3krp,-1.050022,0.759007,NL1,Astrocyte
Gtf3c1,-1.282427,0.3476706,NL1,Astrocyte
Fcho1,1.218031,0.7208099,NL1,Astrocyte
Mtmr3,-1.976813,0.01627039,NL1,Astrocyte
Gulp1,1.239344,0.1598989,NL1,Astrocyte
Sdha,1.147635,0.03381699,NL1,Astrocyte
Sirt5,1.25987,0.3991818,NL1,Astrocyte
Gpat4,2.509348,0.005496097,NL1,Astrocyte
Hacd3,1.329137,0.08644185,NL1,Astrocyte
Edc3,-2.120854,0.0006129619,NL1,Astrocyte
Otud6b,-39.8987,0.0007942878,NL1,Astrocyte
Plcd3,1.03858,0.7756176,NL1,Astrocyte
Rell1,1.419977,0.1777453,NL1,Astrocyte
Agfg1,-1.783005,0.01653363,NL1,Astrocyte
Trappc12,-1.852208,0.001730199,NL1,Astrocyte
Mrpl38,1.30827,0.1179221,NL1,Astrocyte
Rfesd,1.495865,0.02345806,NL1,Astrocyte
Slc38a1,1.332714,0.1205336,NL1,Astrocyte
Shtn1,1.068827,0.9913271,NL1,Astrocyte
Nmral1,1.36861,0.09745824,NL1,Astrocyte
Ppp4r1,-1.763393,0.08470426,NL1,Astrocyte
Ipo11,-1.527581,0.1323524,NL1,Astrocyte
Rbm48,-1.790486,0.2661707,NL1,Astrocyte
Obi1,-1.656965,0.01758118,NL1,Astrocyte
Mrpl47,1.380789,0.05619169,NL1,Astrocyte
Tmem129,1.261529,0.03778464,NL1,Astrocyte
Matr3,-1.135974,0.03789807,NL1,Astrocyte
Champ1,-7.420685,0.008242245,NL1,Astrocyte
Inpp5b,-1.175358,0.359928,NL1,Astrocyte
Atat1,1.142504,0.02285104,NL1,Astrocyte
Cbr3,1.122057,0.1616175,NL1,Astrocyte
Pigu,-1.004937,0.9756129,NL1,Astrocyte
Lrrtm1,1.32404,0.0537487,NL1,Astrocyte
Dennd1a,-1.732774,0.008246015,NL1,Astrocyte
Rab15,1.173851,0.1199149,NL1,Astrocyte
Plcl2,1.193778,0.03708171,NL1,Astrocyte
Fbxo45,5.453273,0.09802817,NL1,Astrocyte
Lzic,-2.257548,0.004659157,NL1,Astrocyte
Ahi1,-1.129851,0.7242815,NL1,Astrocyte
