GeneSymbol,FC,pval,BioID,cell
Plxnb2,1.283612,0.2785696,NL1,Astrocyte
Rbm25,-3.057749,0.002471306,NL1,Astrocyte
Ildr2,-1.323491,0.3586427,NL1,Astrocyte
Kif7,-1.452048,0.003220865,NL1,Astrocyte
Qtrt2,1.118989,0.7168681,NL1,Astrocyte
Clip3,-1.488651,0.05449587,NL1,Astrocyte
Pdzd8,-1.006295,0.9420937,NL1,Astrocyte
Osbpl8,1.199009,0.05103218,NL1,Astrocyte
Cttnbp2,-1.368864,0.3630822,NL1,Astrocyte
Tmf1,-1.455497,0.4141716,NL1,Astrocyte
Ptprz1,1.213579,0.2921082,NL1,Astrocyte
Arxes1,1.525206,0.05454454,NL1,Astrocyte
H2ac8,-1.613997,0.02380746,NL1,Astrocyte
Zbed6,1.425577,0.1013078,NL1,Astrocyte
Akap5,-1.127825,0.1584264,NL1,Astrocyte
Dgki,-1.36601,0.0656361,NL1,Astrocyte
Dgkh,1.118933,0.2991417,NL1,Astrocyte
Safb,-1.193369,0.5228169,NL1,Astrocyte
Obsl1,-1.88918,0.0008637462,NL1,Astrocyte
Mthfd2l,1.366238,0.01038676,NL1,Astrocyte
Pgbd5,1.587344,0.1668601,NL1,Astrocyte
Ccdc6,-4.036782,0.0006783262,NL1,Astrocyte
Shank1,-1.166175,0.01310801,NL1,Astrocyte
Ccdc8,2.514337,0.1089838,NL1,Astrocyte
Gsg1l,2.024758,0.1281144,NL1,Astrocyte
Gls,1.185899,0.01265707,NL1,Astrocyte
Soga1,-2.666894,0.002620674,NL1,Astrocyte
Prrt2,1.202925,0.3647427,NL1,Astrocyte
Dgkd,1.151369,0.3020624,NL1,Astrocyte
Fga,-1.385288,0.5349214,NL1,Astrocyte
Mctp1,1.424348,0.08972194,NL1,Astrocyte
Gcn1,-1.629756,0.0006777448,NL1,Astrocyte
Dchs1,1.52453,0.2281324,NL1,Astrocyte
Sbf2,1.494319,0.06513869,NL1,Astrocyte
Ift140,-1.441338,0.03697884,NL1,Astrocyte
Igsf9b,1.60452,0.2514031,NL1,Astrocyte
Ascc3,-1.118029,0.4734698,NL1,Astrocyte
Tex264,1.16198,0.3533586,NL1,Astrocyte
Abcc4,1.575105,0.1801622,NL1,Astrocyte
C2cd2,1.320309,0.09769612,NL1,Astrocyte
Pi4ka,1.191009,0.1660118,NL1,Astrocyte
Ryr2,1.049189,0.4741341,NL1,Astrocyte
Arid1b,-2.697639,0.001748551,NL1,Astrocyte
Wdfy1,1.133304,0.5210013,NL1,Astrocyte
Pde8b,1.33873,0.06637698,NL1,Astrocyte
Acacb,1.178504,0.9343855,NL1,Astrocyte
Dsp,-1.409146,0.3616784,NL1,Astrocyte
Ythdc1,-2.748052,0.211055,NL1,Astrocyte
Ptpro,1.50879,0.08610191,NL1,Astrocyte
Ccdc85c,-1.198855,0.2771225,NL1,Astrocyte
Xkr6,1.963125,0.1505631,NL1,Astrocyte
Ttc7b,-1.294722,0.07672167,NL1,Astrocyte
Ube4a,-1.329015,0.04347942,NL1,Astrocyte
Arid2,-2.563519,0.01673889,NL1,Astrocyte
Numa1,-3.649998,0.0007086674,NL1,Astrocyte
Nrxn2,1.146812,0.1636735,NL1,Astrocyte
Fry,-1.032392,0.7514578,NL1,Astrocyte
Rap1gds1,1.275707,0.01164177,NL1,Astrocyte
Dlg5,1.046164,0.6585507,NL1,Astrocyte
Sec16a,-2.195599,0.0005636023,NL1,Astrocyte
Syngap1,-1.629054,0.2890882,NL1,Astrocyte
Tpr,-7.886227,1.201034e-05,NL1,Astrocyte
Farp1,1.013596,0.8363785,NL1,Astrocyte
Nccrp1,-1.541924,0.1845456,NL1,Astrocyte
Sipa1l3,1.10999,0.4278873,NL1,Astrocyte
Arfgef1,-1.357798,0.0727587,NL1,Astrocyte
Rab11fip2,-1.337113,0.03210612,NL1,Astrocyte
Atp2b1,1.134567,0.07601057,NL1,Astrocyte
Trip12,-1.355227,0.5087371,NL1,Astrocyte
Poglut3,-1.057766,0.9854645,NL1,Astrocyte
Fpgt,-1.364273,0.05434743,NL1,Astrocyte
Ank3,1.095275,0.2960251,NL1,Astrocyte
Tubgcp6,1.307092,0.05591425,NL1,Astrocyte
Arfip1,-1.819281,0.09767635,NL1,Astrocyte
Shisa8,-2.301238,0.1907763,NL1,Astrocyte
Capn2,-1.098221,0.1947965,NL1,Astrocyte
S1pr1,1.290017,0.05048092,NL1,Astrocyte
Cacna2d1,1.1022,0.3397818,NL1,Astrocyte
Bin1,-1.203624,0.4506533,NL1,Astrocyte
Sec22b,-1.156341,0.2503558,NL1,Astrocyte
Dpysl2,-1.532381,0.000333325,NL1,Astrocyte
Rundc3a,-1.535748,0.1097296,NL1,Astrocyte
Emd,-1.115511,0.4008865,NL1,Astrocyte
Gtpbp1,-1.002039,0.996618,NL1,Astrocyte
Alyref,-13.92324,0.07311767,NL1,Astrocyte
Clta,1.301769,0.5327792,NL1,Astrocyte
Pten,1.557329,0.01133643,NL1,Astrocyte
Stxbp1,1.169426,0.03037258,NL1,Astrocyte
Endog,1.057736,0.6395438,NL1,Astrocyte
Myh11,-1.60743,0.1591496,NL1,Astrocyte
Ephb6,1.178108,0.06097068,NL1,Astrocyte
Map3k4,-3.115372,0.1787775,NL1,Astrocyte
Metap2,-1.456981,0.05651285,NL1,Astrocyte
Kifc2,-2.517238,0.06358594,NL1,Astrocyte
Capn5,1.277454,0.03496265,NL1,Astrocyte
Prdx6,-1.240852,0.03062709,NL1,Astrocyte
Akap1,-3.477985,0.0007078518,NL1,Astrocyte
Casp6,-2.54738,0.5642017,NL1,Astrocyte
Ampd3,-1.546456,0.03405438,NL1,Astrocyte
Unc5c,1.662416,0.00819935,NL1,Astrocyte
Dld,1.290387,0.07112881,NL1,Astrocyte
Hsd17b10,1.398227,0.002323512,NL1,Astrocyte
Ube3a,1.045032,0.4406928,NL1,Astrocyte
Tcof1,-23.32942,7.350242e-07,NL1,Astrocyte
